국세청코드,KSIC코드,KSIC명
369902,33920,사무 및 회화용품 제조업
369903,33993,비 및 솔 제조업
369904,33999,그 외 기타 달리 분류되지 않은 제품 제조업
369905,33991,단추 및 유사 파스너 제조업
369906,33992,"라이터, 연소물 및 흡연용품 제조업"
369907,20494,화약 및 불꽃제품 제조업
369908,33999,그 외 기타 달리 분류되지 않은 제품 제조업
371000,38312,금속류 원료 재생업
371001,38311,금속류 해체 및 선별업
372000,38322,비금속류 원료 재생업
372001,38321,비금속류 해체 및 선별업
372002,39001,토양 및 지하수 정화업
372003,39009,기타 환경 정화 및 복원업
381000,25924,절삭 가공 및 유사 처리업
381003,25929,그 외 기타 금속 가공업
381004,30399,그 외 자동차용 신품 부품 제조업
381005,33999,그 외 기타 달리 분류되지 않은 제품 제조업
381006,75994,포장 및 충전업
401000,35114,태양력 발전업
401001,35111,원자력 발전업
401002,35112,수력 발전업
401003,35113,화력 발전업
401004,35115,풍력 발전업
401004,35119,기타 발전업
401005,35120,송전 및 배전업
401006,35130,전기 판매업
402001,35200,연료용 가스 제조 및 배관공급업
403000,35300,"증기, 냉ㆍ온수 및 공기 조절 공급업"
410000,36010,생활용수 공급업
410001,36020,산업용수 공급업
451101,41112,아파트 건설업
451102,68121,주거용 건물 개발 및 공급업
451103,68121,주거용 건물 개발 및 공급업
451104,41129,기타 비주거용 건물 건설업
451105,41111,단독 주택 건설업
451105,41112,아파트 건설업
451105,41119,기타 공동 주택 건설업
451106,41111,단독 주택 건설업
451107,41119,기타 공동 주택 건설업
451108,41121,사무ㆍ상업용 및 공공기관용 건물 건설업
451109,41122,제조업 및 유사 산업용 건물 건설업
451200,41229,기타 토목 시설물 건설업
451204,41210,지반조성 건설업
451205,41221,도로 건설업
451206,41222,"교량, 터널 및 철도 건설업"
451207,41223,"항만, 수로, 댐 및 유사 구조물 건설업"
451208,41224,환경설비 건설업
451300,41225,산업 생산시설 종합 건설업
451400,41226,조경 건설업
452101,42491,"미장, 타일 및 방수 공사업"
452102,42420,유리 및 창호 공사업
452103,42122,"보링, 그라우팅 및 관정 공사업"
452104,42201,배관 및 냉ㆍ난방 공사업
452105,42412,"도배, 실내 장식 및 내장 목공사업"
452106,42412,"도배, 실내 장식 및 내장 목공사업"
452107,42412,"도배, 실내 장식 및 내장 목공사업"
452108,42192,포장 공사업
452109,42194,수중 공사업
452110,42121,토공사업
452111,42500,시설물 유지관리 공사업
452112,42122,"보링, 그라우팅 및 관정 공사업"
452113,42123,파일공사 및 축조관련 기초 공사업
452114,42191,조적 및 석공사업
452115,42204,"방음, 방진 및 내화 공사업"
452116,42205,소방시설 공사업
452117,42110,건물 및 구축물 해체 공사업
452118,42131,철골 및 관련 구조물 공사업
452119,42132,콘크리트 및 철근 공사업
452120,42195,비계 및 형틀 공사업
452121,42492,건물용 금속 공작물 설치 공사업
452122,42193,철도 궤도 전문공사업
452123,42196,"지붕, 내ㆍ외벽 축조 관련 전문공사업"
452124,42203,승강설비 설치 공사업
452124,42202,건물용 기계ㆍ장비 설치 공사업
452125,42311,일반 전기 공사업
452126,42312,내부 전기배선 공사업
452127,42321,일반 통신 공사업
452128,42322,내부 통신배선 공사업
452129,42411,도장 공사업
452130,42129,기타 기반조성 관련 전문공사업
452131,42199,기타 옥외 시설물 축조관련 전문공사업
452132,42201,배관 및 냉ㆍ난방 공사업
452200,42499,그 외 기타 건축 마무리 공사업
452201,42209,기타 건물 관련설비 설치 공사업
453000,42600,건설장비 운영업
501101,45110,자동차 신품 판매업
501103,45120,중고 자동차 판매업
501201,45110,자동차 신품 판매업
501202,45120,중고 자동차 판매업
501301,45110,자동차 신품 판매업
501302,45110,자동차 신품 판매업
501303,45120,중고 자동차 판매업
503001,45211,자동차 신품 타이어 및 튜브 판매업
503002,45211,자동차 신품 타이어 및 튜브 판매업
503003,45220,자동차 중고 부품 및 내장품 판매업
503004,45220,자동차 중고 부품 및 내장품 판매업
503005,45219,기타 자동차 신품 부품 및 내장품 판매업
503006,45212,자동차용 전용 신품 부품 판매업
503007,45213,자동차 내장용 신품 전기ㆍ전자ㆍ정밀기기 판매업
503008,45219,기타 자동차 신품 부품 및 내장품 판매업
503009,45212,자동차용 전용 신품 부품 판매업
503010,45213,자동차 내장용 신품 전기ㆍ전자ㆍ정밀기기 판매업
503013,45219,기타 자동차 신품 부품 및 내장품 판매업
504001,45301,모터사이클 및 부품 도매업
504002,45302,모터사이클 및 부품 소매업
505001,47711,운송장비용 주유소 운영업
505002,47712,운송장비용 수소 충전업
505002,47713,운송장비용 기타 가스 충전업
511111,46101,"산업용 농ㆍ축산물, 섬유 원료 및 동물 중개업"
511112,46101,"산업용 농ㆍ축산물, 섬유 원료 및 동물 중개업"
511113,46102,음ㆍ식료품 및 담배 중개업
511114,46102,음ㆍ식료품 및 담배 중개업
511115,46103,"섬유, 의복, 신발 및 가죽제품 중개업"
511115,46104,목재 및 건축자재 중개업
511115,46105,"연료, 광물, 1차 금속, 비료 및 화학제품 중개업"
511115,46106,기계 및 장비 중개업
511115,46107,그 외 기타 특정 상품 중개업
511115,46109,상품 종합 중개업
511116,46103,"섬유, 의복, 신발 및 가죽제품 중개업"
511116,46104,목재 및 건축자재 중개업
511116,46105,"연료, 광물, 1차 금속, 비료 및 화학제품 중개업"
511116,46106,기계 및 장비 중개업
511116,46109,상품 종합 중개업
511117,46103,"섬유, 의복, 신발 및 가죽제품 중개업"
511117,46104,목재 및 건축자재 중개업
511117,46105,"연료, 광물, 1차 금속, 비료 및 화학제품 중개업"
511117,46106,기계 및 장비 중개업
511117,46107,그 외 기타 특정 상품 중개업
511118,46102,음ㆍ식료품 및 담배 중개업
511119,46103,"섬유, 의복, 신발 및 가죽제품 중개업"
511119,46104,목재 및 건축자재 중개업
511119,46105,"연료, 광물, 1차 금속, 비료 및 화학제품 중개업"
511119,46106,기계 및 장비 중개업
511119,46109,상품 종합 중개업
511121,46102,음ㆍ식료품 및 담배 중개업
511122,46102,음ㆍ식료품 및 담배 중개업
511123,46102,음ㆍ식료품 및 담배 중개업
512111,46201,곡물 및 유지작물 도매업
512112,46201,곡물 및 유지작물 도매업
512113,46202,종자 및 묘목 도매업
512116,46329,기타 가공식품 도매업
512119,46201,곡물 및 유지작물 도매업
512120,46203,사료 도매업
512131,46204,화훼류 및 식물 도매업
512132,46204,화훼류 및 식물 도매업
512133,46204,화훼류 및 식물 도매업
512135,46202,종자 및 묘목 도매업
512140,46205,육지동물 및 반려동물도매업
512190,46209,기타 산업용 농산물 도매업
512192,46205,육지동물 및 반려동물도매업
512211,46311,과실류 도매업
512212,46312,"채소류, 서류 및 향신작물류 도매업"
512214,46311,과실류 도매업
512215,46312,"채소류, 서류 및 향신작물류 도매업"
512221,46209,기타 산업용 농산물 도매업
512222,46209,기타 산업용 농산물 도매업
512223,46313,육류 도매업
512224,46313,육류 도매업
512231,46315,"신선, 냉동 및 기타 수산물 도매업"
512232,46315,"신선, 냉동 및 기타 수산물 도매업"
512233,46314,건어물 및 젓갈류 도매업
512234,46315,"신선, 냉동 및 기타 수산물 도매업"
512235,46315,"신선, 냉동 및 기타 수산물 도매업"
512236,46314,건어물 및 젓갈류 도매업
512241,46323,"빵류, 과자류, 당류, 초콜릿 도매업"
512242,46323,"빵류, 과자류, 당류, 초콜릿 도매업"
512243,46323,"빵류, 과자류, 당류, 초콜릿 도매업"
512244,46323,"빵류, 과자류, 당류, 초콜릿 도매업"
512245,46324,낙농품 및 동ㆍ식물성 유지 도매업
512251,46331,주류 도매업
512252,46331,주류 도매업
512260,46332,비알코올 음료 도매업
512271,46321,육류 가공식품 도매업
512272,46326,조미료 도매업
512273,46325,커피 및 차류 도매업
512274,46329,기타 가공식품 도매업
512279,46329,기타 가공식품 도매업
512280,46329,기타 가공식품 도매업
512281,46319,기타 신선 식품 및 단순 가공 식품 도매업
512282,46324,낙농품 및 동ㆍ식물성 유지 도매업
512283,46324,낙농품 및 동ㆍ식물성 유지 도매업
512284,46329,기타 가공식품 도매업
512285,46324,낙농품 및 동ㆍ식물성 유지 도매업
512286,46333,담배 도매업
512287,46329,기타 가공식품 도매업
512288,46329,기타 가공식품 도매업
512289,46322,수산물 가공식품 도매업
512290,46324,낙농품 및 동ㆍ식물성 유지 도매업
512293,91241,복권 발행 및 판매업
512294,46324,낙농품 및 동ㆍ식물성 유지 도매업
512295,46329,기타 가공식품 도매업
513111,46411,생활용 섬유 및 실 도매업
513112,46412,커튼 및 침구용품 도매업
513113,46412,커튼 및 침구용품 도매업
513119,46419,기타 생활용 섬유 및 직물 제품 도매업
513121,46413,남녀용 겉옷 및 셔츠 도매업
513130,46413,남녀용 겉옷 및 셔츠 도매업
513131,46414,유아용 의류 도매업
513132,46415,속옷 및 잠옷 도매업
513141,46420,신발 도매업
513150,46416,가죽 및 모피 제품 도매업
513191,46417,의복 액세서리 및 모조 장신구 도매업
513211,46431,생활용 가구 도매업
513221,46521,가전제품 및 부품 도매업
513230,46433,생활용 유리ㆍ요업ㆍ목재ㆍ금속 제품 및 날붙이 도매업
513231,46599,그 외 기타 기계 및 장비 도매업
513241,46432,"전구, 램프 및 조명장치 도매업"
513250,46462,악기 도매업
513253,46461,음반 및 비디오물 도매업
513261,46419,기타 생활용 섬유 및 직물 제품 도매업
513263,46692,벽지 및 장판류 도매업
513271,46433,생활용 유리ㆍ요업ㆍ목재ㆍ금속 제품 및 날붙이 도매업
513272,46433,생활용 유리ㆍ요업ㆍ목재ㆍ금속 제품 및 날붙이 도매업
513290,46431,생활용 가구 도매업
513291,46521,가전제품 및 부품 도매업
513295,46433,생활용 유리ㆍ요업ㆍ목재ㆍ금속 제품 및 날붙이 도매업
513296,46439,기타 비전기식 생활용 기기 및 기구 도매업
513297,46465,자전거 및 기타 운송장비 도매업
513298,46799,그 외 기타 상품 전문 도매업
513311,46441,의약품 도매업
513312,46441,의약품 도매업
513313,46442,의료용품 도매업
513320,46443,화장품 및 화장용품 도매업
513330,46444,비누 및 세정제 도매업
513410,46451,"생활용 포장 및 위생용품, 봉투 및 유사 제품 도매업"
513414,46750,"종이 원지, 판지, 종이상자 도매업"
513415,46799,그 외 기타 상품 전문 도매업
513421,46453,"서적, 잡지 및 기타 인쇄물 도매업"
513430,46452,"문구용품, 회화용품, 사무용품 도매업"
513911,46493,"안경, 사진장비 및 광학용품 도매업"
513912,46493,"안경, 사진장비 및 광학용품 도매업"
513913,46493,"안경, 사진장비 및 광학용품 도매업"
513920,46417,의복 액세서리 및 모조 장신구 도매업
513921,46463,"장난감 및 취미, 오락용품 도매업"
513931,46492,시계 및 귀금속 제품 도매업
513933,46492,시계 및 귀금속 제품 도매업
513934,46492,시계 및 귀금속 제품 도매업
513941,46464,운동 및 경기용품 도매업
513942,46464,운동 및 경기용품 도매업
513945,46463,"장난감 및 취미, 오락용품 도매업"
513950,46491,가방 및 보호용 케이스 도매업
513960,46465,자전거 및 기타 운송장비 도매업
513991,46417,의복 액세서리 및 모조 장신구 도매업
513992,46499,그 외 기타 생활용품 도매업
514111,46711,고체 연료 및 관련제품 도매업
514112,46711,고체 연료 및 관련제품 도매업
514121,46712,액체 연료 및 관련제품 도매업
514122,46799,그 외 기타 상품 전문 도매업
514130,46713,기체 연료 및 관련제품 도매업
514210,46721,1차 금속제품 도매업
514220,46721,1차 금속제품 도매업
514232,46721,1차 금속제품 도매업
514239,46721,1차 금속제품 도매업
514240,46721,1차 금속제품 도매업
514250,46722,금속광물 도매업
514291,46721,1차 금속제품 도매업
514292,46721,1차 금속제품 도매업
514312,46611,원목 및 건축관련 목제품 도매업
514320,46612,"골재, 벽돌 및 시멘트 도매업"
514321,46613,유리 및 창호 도매업
514330,46612,"골재, 벽돌 및 시멘트 도매업"
514350,46691,도료 도매업
514361,46622,"철물, 금속 파스너 및 수공구 도매업"
514366,46621,배관 및 냉ㆍ난방장치 도매업
514370,46699,그 외 기타 건축자재 도매업
514380,46612,"골재, 벽돌 및 시멘트 도매업"
514392,46699,그 외 기타 건축자재 도매업
514393,46699,그 외 기타 건축자재 도매업
514911,46739,기타 화학 물질 및 화학제품 도매업
514912,46739,기타 화학 물질 및 화학제품 도매업
514916,46733,플라스틱 물질 및 합성고무 도매업
514919,46739,기타 화학 물질 및 화학제품 도매업
514920,46731,"염료, 안료 및 관련제품 도매업"
514930,46732,비료 및 농약 도매업
514940,46732,비료 및 농약 도매업
514950,46733,플라스틱 물질 및 합성고무 도매업
514961,46741,방직용 섬유 및 실 도매업
514969,46742,직물 도매업
514971,46791,재생용 재료 수집 및 판매업
514990,46799,그 외 기타 상품 전문 도매업
515010,46599,그 외 기타 기계 및 장비 도매업
515020,46531,농림업용 기계 및 장비 도매업
515030,46532,건설ㆍ광업용 기계 및 장비 도매업
515031,46599,그 외 기타 기계 및 장비 도매업
515040,46533,공작용 기계 및 장비 도매업
515050,46510,"컴퓨터 및 주변장치, 소프트웨어 도매업"
515051,46591,사무용 가구 및 기기 도매업
515060,46522,통신ㆍ방송장비 및 부품 도매업
515070,46595,전기용 기계ㆍ장비 및 관련 기자재 도매업
515074,46596,전지 및 케이블 도매업
515080,46592,의료 기기 도매업
515081,46593,정밀 기기 및 과학 기기 도매업
515090,46539,기타 산업용 기계 및 장비 도매업
515093,46465,자전거 및 기타 운송장비 도매업
515094,46594,수송용 운송장비 도매업
519111,46800,상품 종합 도매업
519112,46800,상품 종합 도매업
519113,46800,상품 종합 도매업
519910,46800,상품 종합 도매업
519991,46463,"장난감 및 취미, 오락용품 도매업"
519992,46799,그 외 기타 상품 전문 도매업
521100,47121,슈퍼마켓
521910,47111,백화점
521911,47119,기타 대형 종합 소매업
521912,47112,대형 마트
521913,47130,면세점
521991,47190,그 외 기타 종합 소매업
521992,47122,체인화 편의점
522011,47211,"곡물, 곡분 및 가축 사료 소매업"
522012,47211,"곡물, 곡분 및 가축 사료 소매업"
522020,47212,육류 소매업
522031,47214,"신선, 냉동 및 기타 수산물 소매업"
522039,47213,건어물 및 젓갈류 소매업
522040,47215,"채소, 과실 및 뿌리작물 소매업"
522050,47215,"채소, 과실 및 뿌리작물 소매업"
522061,47221,"빵류, 과자류 및 당류 소매업"
522062,47221,"빵류, 과자류 및 당류 소매업"
522063,47219,기타 신선식품 및 단순 가공식품 소매업
522063,47229,기타 가공식품 소매업
522071,47129,기타 음ㆍ식료품 위주 종합 소매업
522080,47232,담배 소매업
522081,47599,그 외 기타 분류 안된 가정용품 소매업
522082,91241,복권 발행 및 판매업
522091,47222,건강 보조식품 소매업
522092,47859,그 외 기타 분류 안된 상품 전문 소매업
522093,47231,음료 소매업
522094,47231,음료 소매업
522095,47231,음료 소매업
522096,47219,기타 신선식품 및 단순 가공식품 소매업
522096,47229,기타 가공식품 소매업
522098,47231,음료 소매업
522099,47231,음료 소매업
522101,47222,건강 보조식품 소매업
522105,47859,그 외 기타 분류 안된 상품 전문 소매업
522109,47223,조리 반찬류 소매업
523111,47811,의약품 및 의료용품 소매업
523114,47811,의약품 및 의료용품 소매업
523116,47811,의약품 및 의료용품 소매업
523120,47812,의료용 기구 소매업
523131,47813,"화장품, 비누 및 방향제 소매업"
523132,47993,방문 판매업
523211,47429,"섬유 원단, 실 및 기타 섬유제품 소매업"
523214,47429,"섬유 원단, 실 및 기타 섬유제품 소매업"
523221,47413,속옷 및 잠옷 소매업
523223,47417,유아용 의류 소매업
523231,47414,셔츠 및 블라우스 소매업
523233,47411,남자용 겉옷 소매업
523234,47412,여자용 겉옷 소매업
523235,47415,한복 소매업
523236,47416,가죽 및 모피 의복 소매업
523237,47419,기타 의복 소매업
523241,47430,신발 소매업
523242,47430,신발 소매업
523252,47422,의복 액세서리 및 모조 장신구 소매업
523260,47440,가방 및 기타 가죽제품 소매업
523291,47429,"섬유 원단, 실 및 기타 섬유제품 소매업"
523292,47422,의복 액세서리 및 모조 장신구 소매업
523311,47520,가구 소매업
523312,47520,가구 소매업
523314,47520,가구 소매업
523321,47320,가전제품 소매업
523323,47312,통신기기 소매업
523330,47320,가전제품 소매업
523331,47520,가구 소매업
523332,47592,"주방용품 및 가정용 유리, 요업제품 소매업"
523341,47593,악기 소매업
523349,47593,악기 소매업
523352,47591,전기용품 및 조명장치 소매업
523361,47421,가정용 직물제품 소매업
523363,47421,가정용 직물제품 소매업
523370,47599,그 외 기타 분류 안된 가정용품 소매업
523390,47320,가전제품 소매업
523391,47599,그 외 기타 분류 안된 가정용품 소매업
523411,47511,철물 및 난방용구 소매업
523412,47511,철물 및 난방용구 소매업
523413,47512,공구 소매업
523421,47519,"페인트, 창호 및 기타 건설자재 소매업"
523422,47592,"주방용품 및 가정용 유리, 요업제품 소매업"
523491,47519,"페인트, 창호 및 기타 건설자재 소매업"
523492,47519,"페인트, 창호 및 기타 건설자재 소매업"
523494,47519,"페인트, 창호 및 기타 건설자재 소매업"
523499,47519,"페인트, 창호 및 기타 건설자재 소매업"
523511,47611,"서적, 신문 및 잡지류 소매업"
523520,47612,문구용품 및 회화용품 소매업
523521,47611,"서적, 신문 및 잡지류 소매업"
523531,47311,"컴퓨터 및 주변장치, 소프트웨어 소매업"
523532,47821,사무용 기기 소매업
523541,47822,안경 및 렌즈 소매업
523550,47823,사진기 및 사진용품 소매업
523552,47829,기타 광학 및 정밀 기기 소매업
523611,47721,가정용 고체 연료 소매업
523612,47721,가정용 고체 연료 소매업
523619,47721,가정용 고체 연료 소매업
523621,47722,가정용 액체 연료 소매업
523630,47723,가정용 가스 연료 소매업
523910,47513,"벽지, 마루덮개 및 장판류 소매업"
523921,47830,시계 및 귀금속 소매업
523922,47830,시계 및 귀금속 소매업
523923,47830,시계 및 귀금속 소매업
523931,47631,운동 및 경기용품 소매업
523932,47631,운동 및 경기용품 소매업
523935,47419,기타 의복 소매업
523936,47419,기타 의복 소매업
523940,47640,"게임용구, 인형 및 장난감 소매업"
523951,47841,예술품 및 골동품 소매업
523952,47841,예술품 및 골동품 소매업
523954,47859,그 외 기타 분류 안된 상품 전문 소매업
523961,47842,"기념품, 관광 민예품 및 장식용품 소매업"
523970,47632,자전거 및 기타 운송장비 소매업
523980,47620,음반 및 비디오물 소매업
523981,47599,그 외 기타 분류 안된 가정용품 소매업
523982,47599,그 외 기타 분류 안된 가정용품 소매업
523983,47612,문구용품 및 회화용품 소매업
523984,47859,그 외 기타 분류 안된 상품 전문 소매업
523985,47859,그 외 기타 분류 안된 상품 전문 소매업
523986,47859,그 외 기타 분류 안된 상품 전문 소매업
523987,47851,화초 및 식물 소매업
523988,47851,화초 및 식물 소매업
523990,75290,기타 여행 보조 및 예약 서비스업
523993,47440,가방 및 기타 가죽제품 소매업
523994,47859,그 외 기타 분류 안된 상품 전문 소매업
523995,47859,그 외 기타 분류 안된 상품 전문 소매업
523996,47852,반려용동물 및 관련용품 소매업
523999,47859,그 외 기타 분류 안된 상품 전문 소매업
524000,47422,의복 액세서리 및 모조 장신구 소매업
524001,47512,공구 소매업
524010,47861,중고 가구 소매업
524020,47869,기타 중고 상품 소매업
524091,47869,기타 중고 상품 소매업
524092,47862,중고 가전제품 및 통신장비 소매업
524093,47869,기타 중고 상품 소매업
525101,47912,전자상거래 소매업
525102,47919,기타 통신 판매업
525103,47911,전자상거래 소매 중개업
525104,47911,전자상거래 소매 중개업
525104,47912,전자상거래 소매업
525105,47911,전자상거래 소매 중개업
525105,46101,"산업용 농ㆍ축산물, 섬유 원료 및 동물 중개업"
525105,46102,음ㆍ식료품 및 담배 중개업
525105,46103,"섬유, 의복, 신발 및 가죽제품 중개업"
525105,46104,목재 및 건축자재 중개업
525105,46105,"연료, 광물, 1차 금속, 비료 및 화학제품 중개업"
525105,46106,기계 및 장비 중개업
525105,46107,그 외 기타 특정 상품 중개업
525105,46109,상품 종합 중개업
525200,47993,방문 판매업
525300,47992,계약배달 판매업
525910,47991,자동 판매기 운영업
525911,47920,노점 및 유사 이동 소매업
525912,47999,그 외 기타 무점포 소매업
551001,55101,호텔업
551002,55102,여관업
551003,85614,청소년 수련시설 운영업
551004,55103,휴양 콘도 운영업
551005,55104,민박업
551006,55109,기타 일반 및 생활 숙박시설 운영업
551007,55104,민박업
551009,55102,여관업
551010,55103,휴양 콘도 운영업
551015,55105,야영장업
551016,55901,기숙사 및 고시원 운영업
551017,55909,그 외 기타 숙박업
552101,56111,한식 일반 음식점업
552102,56121,중식 음식점업
552103,56122,일식 음식점업
552104,56123,서양식 음식점업
552105,56141,출장 음식 서비스업
552107,56162,치킨 전문점
552108,56191,김밥 및 기타 간이 음식점업
552109,56130,기관 구내식당업
552114,56112,한식 면 요리 전문점
552115,56113,한식 육류 요리 전문점
552116,56114,한식 해산물 요리 전문점
552117,56129,기타 외국식 음식점업
552118,56161,"피자, 햄버거, 샌드위치 및 유사 음식점업"
552119,56191,김밥 및 기타 간이 음식점업
552123,56199,간이 음식 포장 판매 전문점
552201,56211,일반 유흥 주점업
552202,56211,일반 유흥 주점업
552203,56212,무도 유흥 주점업
552204,56211,일반 유흥 주점업
552205,56213,생맥주 전문점
552206,56211,일반 유흥 주점업
552207,56219,기타 주점업
552208,56219,기타 주점업
552209,56219,기타 주점업
552210,56219,기타 주점업
552211,56211,일반 유흥 주점업
552211,56212,무도 유흥 주점업
552211,56213,생맥주 전문점
552211,56219,기타 주점업
552301,56150,제과점업
552303,56221,커피 전문점
552305,56199,간이 음식 포장 판매 전문점
552307,56229,기타 비알코올 음료점업
552308,56142,이동 음식점업
552309,56161,"피자, 햄버거, 샌드위치 및 유사 음식점업"
552310,56221,커피 전문점
552310,56229,기타 비알코올 음료점업
601000,49211,도시철도 운송업
601001,49101,철도 여객 운송업
601002,49102,철도 화물 운송업
602101,49220,시외버스 운송업
602102,49220,시외버스 운송업
602103,49212,시내버스 운송업
602104,49219,기타 도시 정기 육상 여객 운송업
602109,49219,기타 도시 정기 육상 여객 운송업
602110,49219,기타 도시 정기 육상 여객 운송업
602201,49231,택시 운송업
602203,49231,택시 운송업
602204,49212,시내버스 운송업
602204,49220,시외버스 운송업
602205,49232,전세버스 운송업
602206,49231,택시 운송업
602209,49239,기타 부정기 여객 육상 운송업
602301,49301,일반 화물자동차 운송업
602301,49302,개인 화물자동차 운송업
602302,49301,일반 화물자동차 운송업
602302,49302,개인 화물자동차 운송업
602303,49301,일반 화물 자동차 운송업
602303,49302,개인 화물자동차 운송업
602304,49301,일반 화물 자동차 운송업
602304,49302,개인 화물자동차 운송업
602305,49301,일반 화물 자동차 운송업
602305,49302,개인 화물자동차 운송업
602306,49233,특수 여객 자동차 운송업
602307,49301,일반 화물자동차 운송업
602307,49302,개인 화물자동차 운송업
602308,49301,일반 화물자동차 운송업
602308,49302,개인 화물자동차 운송업
602309,52992,"화물 운송 중개, 대리 및 관련 서비스업"
602310,49302,개인 화물자동차 운송업
602313,49309,기타 도로 화물 운송업
602314,49309,기타 도로 화물 운송업
602314,49302,개인 화물자동차 운송업
602314,49301,일반 화물 자동차 운송업
602315,49301,일반 화물 자동차 운송업
602315,49302,개인 화물자동차 운송업
602316,49302,개인 화물자동차 운송업
602316,49301,일반 화물 자동차 운송업
602316,49309,기타 도로 화물 운송업
603000,49500,파이프라인 운송업
611001,50121,내항 여객 운송업
611002,50112,외항 화물 운송업
611003,50122,내항 화물 운송업
611004,50130,기타 해상 운송업
611005,50111,외항 여객 운송업
612000,50209,기타 내륙 수상 여객 및 화물 운송업
612001,50201,항만 내 여객 운송업
612002,50209,기타 내륙 수상 여객 및 화물 운송업
612003,52942,수상 화물 취급업
621000,51100,항공 여객 운송업
621001,51200,항공 화물 운송업
630101,52941,항공 및 육상 화물 취급업
630102,52942,수상 화물 취급업
630201,52101,일반 창고업
630202,52102,냉장 및 냉동 창고업
630203,52103,농산물 창고업
630204,52104,위험 물품 보관업
630205,52109,기타 보관 및 창고업
630301,52911,철도 운송 지원 서비스업
630302,52912,여객 자동차 터미널 운영업
630303,52915,주차장 운영업
630304,76110,자동차 임대업
630305,52913,물류 터미널 운영업
630309,52919,기타 육상 운송지원 서비스업
630311,52914,도로 및 관련시설 운영업
630401,52929,기타 수상 운송 지원 서비스업
630402,52922,선박관리업
630402,52929,기타 수상 운송 지원 서비스업
630403,52929,기타 수상 운송 지원 서비스업
630405,52921,항구 및 기타 해상 터미널 운영업
630500,52939,기타 항공 운송지원 서비스업
630501,52931,공항 운영업
630600,75210,여행사업
630601,75290,기타 여행 보조 및 예약 서비스업
630701,49212,시내버스 운송업
630701,49220,시외버스 운송업
630701,49231,택시 운송업
630702,49301,일반 화물 자동차 운송업
630702,49302,개인 화물자동차 운송업
630901,49401,택배업
630902,52991,통관 대리 및 관련서비스업
630902,52992,"화물 운송 중개, 대리 및 관련 서비스업"
630903,52993,"화물 포장, 검수 및 계량 서비스업"
630904,49402,늘찬 배달업
630905,52993,"화물 포장, 검수 및 계량 서비스업"
630909,52999,그 외 기타 분류 안된 운송관련 서비스업
641100,64110,중앙은행
641200,61100,공영 우편업
641201,49401,택배업
642001,61220,무선 및 위성 통신업
642002,61291,통신 재판매업
642003,61299,그 외 기타 전기 통신업
642004,63120,포털 및 기타 인터넷 정보 매개 서비스업
642005,61210,유선 통신업
659201,64121,국내은행
659202,64131,신용조합
659203,64919,그 외 기타 여신 금융업
659204,64919,그 외 기타 여신 금융업
659205,64132,상호 저축은행 및 기타 저축기관
659206,64913,신용카드 및 할부 금융업
659207,64122,외국은행
659208,64911,금융 리스업
659209,64912,개발 금융기관
659900,64209,기타 금융 투자업
659901,75995,온라인 활용 마케팅 및 관련 사업지원 서비스업
659901,75999,그 외 기타 분류 안된 사업지원 서비스업
659902,64999,그 외 기타 분류 안된 금융업
659903,64201,신탁업 및 집합 투자업
659904,64919,그 외 기타 여신 금융업
659905,64991,기금 운영업
659906,64992,지주회사
660100,65110,생명보험업
660101,65200,재보험업
660301,65121,손해보험업
660302,65121,손해보험업
660303,65121,손해보험업
660304,65122,보증보험업
660305,84611,건강 보험업
660306,84619,산업재해 및 기타 사회보장 보험업
660307,65301,개인 공제업
660308,65302,사업 공제업
660309,84620,연금업
671201,66199,그 외 기타 금융 지원 서비스업
671202,66121,증권 중개업
671203,66122,선물 중개업
671900,66199,그 외 기타 금융 지원 서비스업
671901,66110,금융시장 관리업
671902,66191,"증권 발행, 관리, 보관 및 거래 지원 서비스업"
671903,66192,투자 자문업 및 투자 일임업
672000,66202,보험 대리 및 중개업
672001,66209,기타 보험 및 연금관련 서비스업
701101,68111,주거용 건물 임대업
701102,68111,주거용 건물 임대업
701103,68111,주거용 건물 임대업
701104,68111,주거용 건물 임대업
701201,68112,비주거용 건물 임대업
701202,68112,비주거용 건물 임대업
701203,68112,비주거용 건물 임대업
701204,68112,비주거용 건물 임대업
701205,68112,비주거용 건물 임대업
701206,68112,비주거용 건물 임대업
701300,68112,비주거용 건물 임대업
701301,68111,주거용 건물 임대업
701302,68112,비주거용 건물 임대업
701400,68119,기타 부동산 임대업
701501,68112,비주거용 건물 임대업
701502,68112,비주거용 건물 임대업
701503,68119,기타 부동산 임대업
701504,68119,기타 부동산 임대업
701600,76400,무형 재산권 임대업
701700,96922,"화장터 운영, 묘지 분양 및 관리업"
702001,68224,부동산 분양 대행업
702001,68221,부동산 중개 및 대리업
702002,68223,부동산 감정 평가업
702003,68212,비주거용 부동산 관리업
702004,68222,부동산 투자 자문업
702005,68211,주거용 부동산 관리업
703011,68121,주거용 건물 개발 및 공급업
703012,68121,주거용 건물 개발 및 공급업
703014,68122,비주거용 건물 개발 및 공급업
703015,68129,기타 부동산 개발 및 공급업
703016,68122,비주거용 건물 개발 및 공급업
703017,68129,기타 부동산 개발 및 공급업
703021,68122,비주거용 건물 개발 및 공급업
703022,68122,비주거용 건물 개발 및 공급업
703023,68122,비주거용 건물 개발 및 공급업
703024,68122,비주거용 건물 개발 및 공급업
