국세청코드,KSIC코드,KSIC명
172109,13229,기타 직물제품 제조업
172111,13229,기타 직물제품 제조업
172200,13910,"카펫, 마루덮개 및 유사 제품 제조업"
172300,13922,어망 및 기타 끈 가공품 제조업
172301,13921,끈 및 로프 제조업
172901,13991,세폭직물 제조업
172902,13999,그 외 기타 분류 안된 섬유제품 제조업
172903,13992,부직포 및 펠트 제조업
172904,13993,특수사 및 코드직물 제조업
172905,13994,표면처리 및 적층 직물 제조업
173001,14300,편조의복 제조업
173002,13300,편조 원단 제조업
173004,14411,스타킹 및 기타양말 제조업
173006,14419,기타 편조 의복 액세서리 제조업
173009,14419,기타 편조 의복 액세서리 제조업
181101,14111,남자용 겉옷 제조업
181103,14130,한복 제조업
181105,14112,여자용 겉옷 제조업
181109,14191,셔츠 및 블라우스 제조업
181110,14192,"근무복, 작업복 및 유사 의복 제조업"
181201,14193,가죽의복 제조업
181202,14491,모자 제조업
181203,14120,속옷 및 잠옷 제조업
181204,14499,그 외 기타 의복 액세서리 제조업
181205,14111,남자용 겉옷 제조업
181206,14112,여자용 겉옷 제조업
181207,14192,"근무복, 작업복 및 유사 의복 제조업"
181208,14194,유아용 의복 제조업
181209,14130,한복 제조업
181211,14199,그 외 기타 봉제의복 제조업
182001,14200,모피제품 제조업
191100,15110,모피 및 가죽 제조업
191200,15129,가방 및 기타 보호용 케이스 제조업
191201,15190,기타 가죽제품 제조업
191202,15121,핸드백 및 지갑 제조업
192001,15211,구두류 제조업
192004,15219,기타 신발 제조업
192005,15220,신발 부분품 제조업
193001,13104,연사 및 가공사 제조업
193001,13219,특수직물 및 기타 직물 직조업
193001,13222,자수제품 및 자수용 재료 제조업
193001,13300,편조 원단 제조업
193001,13409,섬유제품 기타 정리 및 마무리 가공업
193001,13999,그 외 기타 분류 안된 섬유제품 제조업
193009,13401,솜 및 실 염색 가공업
193009,13402,"직물, 편조 원단 및 의복류 염색 가공업"
193009,13403,날염 가공업
201001,16101,일반 제재업
201002,16103,"목재 보존, 방부처리, 도장 및 유사 처리업"
201009,16102,표면 가공목재 및 특정 목적용 제재목 제조업
202101,16212,강화 및 재생 목재 제조업
202102,16211,"박판, 합판 및 유사 적층판 제조업"
202200,16229,기타 건축용 나무제품 제조업
202201,16232,"목재 포장용 상자, 드럼 및 유사 용기 제조업"
202202,16221,목재 문 및 관련제품 제조업
202203,16231,목재 깔판류 및 기타 적재판 제조업
202901,16291,목재 도구 및 주방용 나무제품 제조업
202902,16292,장식용 목제품 제조업
202903,16300,코르크 및 조물 제품 제조업
202904,16292,장식용 목제품 제조업
202905,16299,그 외 기타 나무제품 제조업
202906,16300,코르크 및 조물 제품 제조업
202907,16300,코르크 및 조물 제품 제조업
210101,17102,신문용지 제조업
210102,17904,"적층, 합성 및 특수 표면처리 종이 제조업"
210104,17109,기타 종이 및 판지 제조업
210106,17101,펄프 제조업
210107,17103,인쇄용 및 필기용 원지 제조업
210108,17106,위생용 원지 제조업
210111,17104,골판지 원지 제조업
210111,17105,크라프트지 및 기타 상자용 판지 제조업
210112,17109,기타 종이 및 판지 제조업
210200,17211,골판지 제조업
210201,17222,판지 상자 및 용기 제조업
210202,17212,골판지 상자 및 가공제품 제조업
210203,17221,종이 포대 및 가방 제조업
210204,17223,식품 위생용 종이 상자 및 용기 제조업
210205,17229,기타 종이 상자 및 용기 제조업
210206,17909,그 외 기타 종이 및 판지 제품 제조업
210901,17901,문구용 종이제품 제조업
210902,17903,벽지 및 장판지 제조업
210903,17902,위생용 종이제품 제조업
210905,17909,그 외 기타 종이 및 판지 제품 제조업
221100,58113,일반 서적 출판업
221103,58111,교과서 및 학습 서적 출판업
221104,58112,만화 출판업
221200,58122,잡지 및 정기 간행물 발행업
221201,58121,신문 발행업
221202,58123,정기 광고 간행물 발행업
221300,59201,음악 및 기타 오디오물 출판업
221900,58190,기타 인쇄물 출판업
222101,18111,경 인쇄업
222102,18112,스크린 인쇄업
222103,18111,경 인쇄업
222104,18113,오프셋 인쇄업
222105,18119,기타 인쇄업
222201,18122,제책업
222202,18129,기타 인쇄관련 산업
222203,18121,제판 및 조판업
223001,18200,기록매체 복제업
231001,19100,코크스 및 연탄 제조업
231002,19100,코크스 및 연탄 제조업
232100,19210,원유 정제처리업
232101,20129,기타 기초 무기화학 물질 제조업
232200,19221,윤활유 및 그리스 제조업
232201,19229,기타 석유 정제물 재처리업
241101,20121,수소 제조업
241101,20122,"산소, 질소 및 기타 산업용 가스 제조업"
241102,20129,기타 기초 무기화학 물질 제조업
241105,20129,기타 기초 무기화학 물질 제조업
241106,20119,기타 기초 유기 화학물질 제조업
241109,20131,무기 안료용 금속 산화물 및 관련 제품 제조업
241110,20111,석유화학계 기초 화학 물질 제조업
241114,20112,바이오매스계 기초 화학물질 제조업
241115,20132,"염료, 조제 무기 안료, 유연제 및 기타 착색제 제조업"
241200,20312,복합비료 및 기타 화학비료 제조업
241201,20311,"질소 화합물, 질소ㆍ인산 및 칼리질 화학비료 제조업"
241202,20313,유기질 비료 및 상토 제조업
241301,20201,합성고무 제조업
241302,20202,합성수지 및 기타 플라스틱 물질 제조업
241303,20203,혼성 및 재생 플라스틱 소재 물질 제조업
242101,20321,화학 살균ㆍ살충제 및 농업용 약제 제조업
242102,20321,화학 살균ㆍ살충제 및 농업용 약제 제조업
242103,20322,생물 살균ㆍ살충제 및 식물보호제 제조업
242104,20322,생물 살균ㆍ살충제 및 식물보호제 제조업
242201,20413,인쇄 잉크 및 회화용 물감 제조업
242202,20413,인쇄 잉크 및 회화용 물감 제조업
242203,20411,일반용 도료 및 관련제품 제조업
242204,20411,일반용 도료 및 관련제품 제조업
242205,20412,요업용 도포제 및 관련제품 제조업
242301,21211,생물 의약품 제조업
242301,21212,합성의약품 및 기타 완제 의약품 제조업
242302,21220,한의약품 제조업
242303,21100,기초 의약 물질 제조업
242304,21230,동물용 의약품 제조업
242305,21301,체외 진단 시약 제조업
242305,21100,기초 의약 물질 제조업
242309,21301,체외 진단 시약 제조업
242309,21309,그 외 기타 의료용품 및 의약 관련제품 제조업
242401,20422,"치약, 비누 및 기타 세제 제조업"
242402,20422,"치약, 비누 및 기타 세제 제조업"
242403,20423,화장품 제조업
242404,20421,계면활성제 제조업
242405,20424,표면 광택제 및 실내 가향제 제조업
242406,20424,표면 광택제 및 실내 가향제 제조업
242901,20493,접착제 및 젤라틴 제조업
242902,26600,마그네틱 및 광학 매체 제조업
