KSIC코드,업종명,레벨,정의,예시,제외
20412,요업용 도포제 및 관련제품 제조업,세세분류,"요업용, 법랑용 및 유리 가공용에 사용되는 조제 안료, 조제 유백제, 조제 착색제, 법랑 유약, 유약용 화장토(slip, engobe) 및 이와 유사한 조제품을 제조하는 산업활동을 말한다.","요업용 물감 제조 / 액상 러스터(lustres) 제조 / 유약용 화장토(슬립, 엥고베) 제조 / 요업용 프리트(frit) 제조 / 요업용 등 도포제 조제에 사용되는 유리 프리트(frit) 또는 분상, 입 / 상 및 플레이크(flake)상의 유리 제조",
20413,인쇄 잉크 및 회화용 물감 제조업,세세분류,"농축 액체 또는 고체 형상 여부를 불문하고 인쇄용 잉크를 제조하는 산업활동과 화가, 학생, 간판 도장공 등이 사용할 수 있도록 정제, 튜 브, 병, 접시 등에 포장 또는 주입된 회구류 및 유사 물감을 제조하는 산업활동을 말한다.",인쇄용 잉크 제조 / 유성 회구류 제조 / 제 조 업 / 회화용 물감 제조 / 수성 회구류 제조 / 간판 도장공용 물감 제조,"필기용, 제도용 잉크 제조(20499) / 크레용 및 파스텔 제조(33920)"
2042,"세제, 화장품 및 광택제 제조업",세분류,"각종 형태의 비누 및 원료 상태의 글리세린, 계면활성제 및 합성세제, 두발용 조제품, 인체 방향성 제품, 미용 또는 메이크업용 조제품 및 기타 화장품, 치약 및 구강 위생용품, 실내 방향제품 및 방취제품, 표 면 광택제 및 조제 왁스 등을 제조하는 산업활동을 말한다.",,화학적으로 단일한 화합물 제조(201) / 방향유 추출 및 정제(2049) / 수수료 또는 계약에 의한 조제품 충전 및 포장활동(75994)
20421,계면활성제 제조업,세세분류,"섬유, 종이, 펄프, 화장품 및 세척제, 농약 등의 제조 가공에 사용되는 유기 또는 조제 계면활성제를 제조하는 산업활동을 말한다.",,비누 및 합성세제 제조(20422)
20422,"치약, 비누 및 기타 세제 제조업",세세분류,"각종 형태의 지방산 중합 반응을 이용하여 만든 비누, 비누로 사용되 는 유기 계면활성제품, 치약, 합성세제가 도포되거나 침적된 종이, 펠 트 및 기타 세정용 제품, 유기 계면활성제를 조제하여 액상․분상 또 대분류 C 는 페이스트상의 합성세제 및 세정제를 제조하는 산업활동을 말한다.",합성 세정제 제조 / 글리세린 제조 / 글리세린 수 및 비누 폐액으로 만든 글리세린 제조,샴푸 및 면도용 조제품 제조(20423)
20423,화장품 제조업,세세분류,"향수 및 화장수, 화장품을 제조하는 산업활동으로서 미용 또는 안면 보호용, 두발용 또는 면도용, 목욕용 조제품과 인체용 탈취제, 탈모제 등을 제조하는 산업활동을 포함한다.",샴푸 제조 / 헤어 스프레이 제조 / 향낭 제조 / 콘택트렌즈 세정액 제조 / 의안용 세정액 제조 / 구강 세척제(치약 제외) 제조 / 가향한 목욕용 염 제조 / 내발한제 제조 / 구강 위생용품 제조,실내 가향제 제조(20424) / 치약 제조(20422)
20424,표면 광택제 및 실내 가향제 제조업,세세분류,"가구, 금속, 신발, 마룻바닥, 차량 유리 등의 표면 광택용 인조왁스, 광택제, 조제 연마분 및 페이스트 등을 제조하는 산업활동을 말한다.","신발 광택제 및 크림 제조 / 마루 광택제 및 크림 제조 / 아가바티(agarbatti, 인도 분향) 및 기타 분향 제조 / 실내용 방향제품(악취 방지용) / 분향(제사용) 제조 / 조제 연마페이스트 제조",
2049,그 외 기타 화학제품 제조업,세분류,"사진용 화학제품 및 감광성 재료, 화약 등 폭발성 제품, 젤라틴과 관 련 유도체, 접착제, 펩톤과 관련 유도체, 방향유(정유), 섬유처리용 화 학 조제품, 용접용 분과 페이스트, 금속 표면처리 용제, 활성탄, 윤활 유 첨가제, 조제한 고무 가황 촉진제, 안티녹제, 부동액 및 유사 조제 품 실험실용 조제 시약 등의 화학제품을 제조하는 산업활동을 포함한 다.",,화학적으로 순수한 원료상의 화합물 제조(201) / 양초 및 고체 또는 반고체 연료 제조(33992) / 용접봉 및 유사용도의 제품 제조(25995)
20491,감광 재료 및 관련 화학제품 제조업,세세분류,"영상 및 기타 현상 기록용 감광성 판, 필름, 종이, 판지와 사진처리용 화학제품을 제조하는 산업활동을 말한다.","감광성 사진 인화지 및 판지 제조 / 대분류 C / 사진처리용 단일 화학 물질 제조 / 감광성 사진 플레이트, 사진 필름 및 인스턴트 프린트 필름 제조 / 프린터용 토너 및 토너 카트리지",
20492,가공 및 정제염 제조업,세세분류,천일염을 재처리하거나 해수를 이온교환 분리 및 결합 방법 등으로 처리하여 가공염 및 정제염을 제조하는 산업활동을 말한다.,기계염 제조 / 가공염 제조,"식탁용 맛소금 제조(10831), 구운 소금 제조(10839)"
20493,접착제 및 젤라틴 제조업,세세분류,"아교, 접착제, 젤라틴, 펩톤 및 기타 펩톤 성분과 이들의 유도체를 제 조하는 산업활동을 말한다. 고무 또는 플라스틱 물질을 주성분으로","젤라틴 캡슐 제조 / 카세인염과 카세인 유도체 제조 / 알부민(난백 제외), 알부민산염 및 그 유도체 제조",전분제 식용 및 의약용 캡슐 제조(10603)
20494,화약 및 불꽃제품 제조업,세세분류,"여러 가지 형태의 추진(발사) 화약, 조제 폭약, 신관, 뇌관, 점화기 및 불꽃제품 등을 생산하는 산업활동을 말한다.",점화기 제조 / 신호용 조명탄 제조 / 폭죽 제조 / 성냥 제조,"양초 제조(33992) / 포탄, 폭탄 및 총탄 제조(25200)"
20495,바이오 연료 및 혼합물 제조업,세세분류,"동․식물성 유지, 식물, 해조류, 축산 폐기물 등을 재료로 추출 및 발 효 등의 공정을 거쳐 연료용, 발전용 등에 사용하는 바이오 디젤, 바 이오 에탄올, 바이오 가스 등을 생산하는 산업활동을 말한다. 바이오",,
20499,그 외 기타 분류 안된 화학제품 제조업,세세분류,"향수, 식품, 음료 등의 향료로 사용되는 동․식물성의 방향유(정유), 동식물성 수지질 재료로 만든 레지노이드, 정유 농축물, 정유의 테르 펜계 부산물․혼합물․수성 증류액 및 용액 등을 제조하는 산업활동; 광물성, 동물성 및 식물성 재료 등을 혼합․조합하여 각종 재료 처리 용 조제 윤활제품(석유 성분 함유량 70% 미만)을 제조하는 산업활동; 필기용 잉크, 용접용 분 또는 페이스트 및 금속 표면처리 용제, 활성 탄, 고무 가황 촉진제, 촉매제 및 기타 산업용 화학제품, 안티녹제, 부 동액, 실험실용 시약 등을 제조하는 산업활동을 포함","정유 혼합물 제조 / 정유 수성 증류액 및 용액 제조 / 합성 향료 혼합물 제조 / 정유 테르펜계 화합물 제조 / 조제 그리스 제조(석유류 함유량 70% 미만) / 활성탄 제조 / 대분류 C / 산, 알칼리 처리 등으로 활성화된 광물성 물질(활성 규조토 등) 제조 / 조제 절삭제 제조 / 소화기용 조제품 제조 / 전자공업용 화학 원소 및 화합물 제조 / 도금용 조제품 제조 / 조제 유기 과산화물 제조 / 고무, 플라스틱용 복합 가소제 제조 / ",환자 투여용 진단 시약 제조(21309) / 석유 및 역청유를 주성분으로 한 윤활유 및 그리스의 재생품 제조 / (19221) / 인쇄 잉크 제조(20413) / 미생물용 조제 배양제 제조(21100) / 제 조 업 / 폐기물 처리과정에서 폐합성수지를 열분해(해중합)하여 중간체(단 / 량체) 형태의 석유화학 제품 기초 원료(열분해유 등) 또는 정유 공 정의 2차 원료 또는 부산물로 생산하는 경우(38)
2050,화학섬유 제조업,세분류,"방적 가공 원료로 사용되는 필라멘트사, 스트립, 토우 및 스테이플 상 태의 합성 또는 인조섬유를 제조하는 산업활동을 말한다.",,"화학섬유 스테이플, 토우를 가공한 방적사 및 가공사 제조(1310) / 재생 섬유소 및 그 유도체 제조(20202)"
20501,합성섬유 제조업,세세분류,"석탄 혹은 석유 증류물 등을 원료로 유기 단량체(모노머)를 중합하고 필라멘트사, 스트립, 토우 및 스테이플 상태의 합성섬유를 제조하는 산업활동을 말한다.",나일론 및 비닐론 제조 / 아라미드 합성섬유 제조 / 폴리염화비닐리덴 섬유 제조 / 폴리염화비닐 섬유 제조 / 폴리에스터 섬유 제조 / 폴리에틸렌 섬유 제조 / 아크릴 섬유 제조 / 폴리프로필렌 섬유 제조,
20502,재생 섬유 제조업,세세분류,"섬유소, 카제인, 단백질 및 해조류 등과 같은 천연 유기 폴리머(중합 체)를 화학적으로 재생 또는 반합성하여 유기 폴리머섬유를 제조하는 산업활동을 말한다.",레이온 섬유 제조 / 초산 셀룰로오스 섬유 제조 / 아세테이트 섬유 제조 / 알기네이트 섬유 제조,구입한 화학섬유를 방적하여 화학섬유사를 제조하는 경우(13103) / 제 조 업
21,의료용 물질 및 의약품 제조업,중분류,"인간 또는 동물의 각종 질병을 진단, 치료, 예방하는데 사용되는 의약 품 및 의료용품을 제조하는 산업활동으로서 혈액, 미생물 및 그 배양 제 액 등으로 만들어지는 백신, 항독제 등의 생물학적 제제 및 합성품, 조 천연 물질 또는 광물성 물질 등에서 의약용 화합물을 추출 또는 합성 업 하여 약물 유효 성분인 의료 화학제제 및 원료 형태의 항생물질 제 조, 약용 식물 및 동물의 약용 부분이나 분비물 등을 조제․가공한 생약제제, 단일 또는 몇 가지 종류의 의약제제를 배합․조제하여 분 말제, 정제, 캡슐제, 시럽제, 주사제, 연고 등 일정",,"전분을 주성분으로 한 의약품용 캡슐 제조(10603) / 젤라틴을 주성분으로 한 각종 용도의 캡슐 제조(20493) / 구입한 의약품 포장은 도 / 소매활동의 부수적 활동으로 보며, 수수 / 료 또는 계약에 의한 의약품 포장활동을 수행하는 경우(75994)"
21100,기초 의약 물질 제조업,세세분류,"합성, 발효, 추출 또는 이의 조합을 통해 의약용 화합물을 생산하는 산업활동과 원료 상태의 의약물질, 의약품 중간체를 생산하는 산업활 동을 말한다.","의약용 화합물 제조 / 스트렙토마이신 제조 / 글리코시드 및 그 유도체 제조 / 대분류 C / 식물성 알칼로이드(니코틴, 아나바딘 등) 및 그 염 제조 / 엑티노마이신 제조 / 테트라사이크린계 항생 물질 제조 / 생약 물질 추출, 가공 또는 합성 조제품 제조 / 화학적 처리(가수분해 등)를 통하여 얻은 순수한 당 이성체(갈락토 / 오스, 소르보오스, 크실로오스, 트레할로오스, 리보오스, 아라비노오 스, 라피노오스) 제조 / 미생물 배양체 제조 ","화학적으로 순수한 맥아당, 과당, 포도당 제조(10) / 완제 의약품 제조(2121) / 생물학적 농약 제조(20322)"
21211,생물 의약품 제조업,세세분류,"사람이나 다른 생물체에서 유래된 세포, 조직, 호르몬 등을 원료 또는 재료로 유전자재조합기술, 세포배양기술 등 생명공학 방식을 이용하 여 의약품을 제조하는 산업활동을 말한다.",항체치료제 제조 / 유전자치료제 제조 / 세포치료제 제조 / 제 조 업 / 동등생물의약품 제조,
21212,합성의약품 및 기타 완제 의약품 제조업,세세분류,생물의약품으로 분류되지 않는 완제 의약품을 제조하는 산업활동을 말한다. 화학물질의 합성을 통해 화학합성 완제의약품을 제조하는 산,"합성의약품 제조 / 연고, 패치(파스), 스프레이 형태 의약품 제조",생물 의약품 제조(21211) / 체외 진단 시약 제조(21301)
21220,한의약품 제조업,세세분류,한의학적 처방에 의한 특정 질환 예방 및 치료용으로 사용할 수 있도 록 의약용 동․식물성 물질을 배합 및 기타 조제하여 규격화한 한의 약 조제품을 제조하는 산업활동을 말한다. 그러나 각종 한의약 재료,,개인 진단 및 처방에 의하여 조제하는 한의원(86203)
2123,동물용 의약품 제조업,세분류,대분류 C,,
21230,동물용 의약품 제조업,세세분류,"동물의 각종 질병 치료․진단 및 예방을 위하여 직접 사용하기에 적 합한 완제품 형태(알약, 캡슐, 시럽, 주사제, 연고, 용액 등)의 약제품 을 제조하는 산업활동을 말한다.",동물용 의약품 제조,
