KSIC_코드,KSIC_대분류코드,KSIC_대분류명,KSIC_중분류코드,KSIC_중분류명,KSIC_소분류코드,KSIC_소분류명,KSIC_세분류코드,KSIC_세분류명,KSIC_세세분류명,embedding_text
25934,C,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,259,기타 금속 가공제품 제조업,2593,"날붙이, 수공구 및 일반 철물 제조업",톱 및 호환성 공구 제조업,"제조업 > 금속가공제품 제조업; 기계 및 가구 제외 > 기타 금속 가공제품 제조업 > 날붙이, 수공구 및 일반 철물 제조업 > 톱 및 호환성 공구 제조업"
25941,C,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,259,기타 금속 가공제품 제조업,2594,"금속 파스너, 스프링 및 금속선 가공제품 제조업",볼트 및 너트류 제조업,"제조업 > 금속가공제품 제조업; 기계 및 가구 제외 > 기타 금속 가공제품 제조업 > 금속 파스너, 스프링 및 금속선 가공제품 제조업 > 볼트 및 너트류 제조업"
25942,C,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,259,기타 금속 가공제품 제조업,2594,"금속 파스너, 스프링 및 금속선 가공제품 제조업",그 외 금속 파스너 및 나사제품 제조업,"제조업 > 금속가공제품 제조업; 기계 및 가구 제외 > 기타 금속 가공제품 제조업 > 금속 파스너, 스프링 및 금속선 가공제품 제조업 > 그 외 금속 파스너 및 나사제품 제조업"
25943,C,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,259,기타 금속 가공제품 제조업,2594,"금속 파스너, 스프링 및 금속선 가공제품 제조업",금속 스프링 제조업,"제조업 > 금속가공제품 제조업; 기계 및 가구 제외 > 기타 금속 가공제품 제조업 > 금속 파스너, 스프링 및 금속선 가공제품 제조업 > 금속 스프링 제조업"
25944,C,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,259,기타 금속 가공제품 제조업,2594,"금속 파스너, 스프링 및 금속선 가공제품 제조업",금속선 가공제품 제조업,"제조업 > 금속가공제품 제조업; 기계 및 가구 제외 > 기타 금속 가공제품 제조업 > 금속 파스너, 스프링 및 금속선 가공제품 제조업 > 금속선 가공제품 제조업"
25991,C,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,259,기타 금속 가공제품 제조업,2599,그 외 기타 금속 가공제품 제조업,금속 캔 및 기타 포장용기 제조업,제조업 > 금속가공제품 제조업; 기계 및 가구 제외 > 기타 금속 가공제품 제조업 > 그 외 기타 금속 가공제품 제조업 > 금속 캔 및 기타 포장용기 제조업
25992,C,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,259,기타 금속 가공제품 제조업,2599,그 외 기타 금속 가공제품 제조업,수동식 식품 가공 기기 및 금속 주방용기 제조업,제조업 > 금속가공제품 제조업; 기계 및 가구 제외 > 기타 금속 가공제품 제조업 > 그 외 기타 금속 가공제품 제조업 > 수동식 식품 가공 기기 및 금속 주방용기 제조업
25993,C,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,259,기타 금속 가공제품 제조업,2599,그 외 기타 금속 가공제품 제조업,금속 위생용품 제조업,제조업 > 금속가공제품 제조업; 기계 및 가구 제외 > 기타 금속 가공제품 제조업 > 그 외 기타 금속 가공제품 제조업 > 금속 위생용품 제조업
25994,C,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,259,기타 금속 가공제품 제조업,2599,그 외 기타 금속 가공제품 제조업,금속 표시판 제조업,제조업 > 금속가공제품 제조업; 기계 및 가구 제외 > 기타 금속 가공제품 제조업 > 그 외 기타 금속 가공제품 제조업 > 금속 표시판 제조업
25995,C,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,259,기타 금속 가공제품 제조업,2599,그 외 기타 금속 가공제품 제조업,피복 및 충전 용접봉 제조업,제조업 > 금속가공제품 제조업; 기계 및 가구 제외 > 기타 금속 가공제품 제조업 > 그 외 기타 금속 가공제품 제조업 > 피복 및 충전 용접봉 제조업
25999,C,제조업,25,금속가공제품 제조업; 기계 및 가구 제외,259,기타 금속 가공제품 제조업,2599,그 외 기타 금속 가공제품 제조업,그 외 기타 분류 안된 금속 가공제품 제조업,제조업 > 금속가공제품 제조업; 기계 및 가구 제외 > 기타 금속 가공제품 제조업 > 그 외 기타 금속 가공제품 제조업 > 그 외 기타 분류 안된 금속 가공제품 제조업
26111,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",261,반도체 제조업,2611,전자집적회로 제조업,메모리용 전자집적회로 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 반도체 제조업 > 전자집적회로 제조업 > 메모리용 전자집적회로 제조업"
26112,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",261,반도체 제조업,2611,전자집적회로 제조업,비메모리용 및 기타 전자집적회로 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 반도체 제조업 > 전자집적회로 제조업 > 비메모리용 및 기타 전자집적회로 제조업"
26121,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",261,반도체 제조업,2612,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",발광 다이오드 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 반도체 제조업 > 다이오드, 트랜지스터 및 유사 반도체 소자 제조업 > 발광 다이오드 제조업"
26129,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",261,반도체 제조업,2612,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",기타 반도체 소자 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 반도체 제조업 > 다이오드, 트랜지스터 및 유사 반도체 소자 제조업 > 기타 반도체 소자 제조업"
26211,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2621,표시장치 제조업,액정 표시장치 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 표시장치 제조업 > 액정 표시장치 제조업"
26212,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2621,표시장치 제조업,유기 발광 표시장치 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 표시장치 제조업 > 유기 발광 표시장치 제조업"
26219,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2621,표시장치 제조업,기타 표시장치 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 표시장치 제조업 > 기타 표시장치 제조업"
26221,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2622,인쇄회로기판 및 전자부품 실장기판 제조업,인쇄회로기판용 적층판 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 인쇄회로기판 및 전자부품 실장기판 제조업 > 인쇄회로기판용 적층판 제조업"
26222,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2622,인쇄회로기판 및 전자부품 실장기판 제조업,경성 인쇄회로기판 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 인쇄회로기판 및 전자부품 실장기판 제조업 > 경성 인쇄회로기판 제조업"
26223,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2622,인쇄회로기판 및 전자부품 실장기판 제조업,연성 및 기타 인쇄회로기판 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 인쇄회로기판 및 전자부품 실장기판 제조업 > 연성 및 기타 인쇄회로기판 제조업"
26224,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2622,인쇄회로기판 및 전자부품 실장기판 제조업,전자 부품 실장기판 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 인쇄회로기판 및 전자부품 실장기판 제조업 > 전자 부품 실장기판 제조업"
26291,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2629,기타 전자 부품 제조업,전자 축전기 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 기타 전자 부품 제조업 > 전자 축전기 제조업"
26292,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2629,기타 전자 부품 제조업,전자저항기 및 전자카드 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 기타 전자 부품 제조업 > 전자저항기 및 전자카드 제조업"
26293,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2629,기타 전자 부품 제조업,"전자코일, 변성기 및 기타 전자 유도자 제조업","제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 기타 전자 부품 제조업 > 전자코일, 변성기 및 기타 전자 유도자 제조업"
26294,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2629,기타 전자 부품 제조업,전자 감지장치 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 기타 전자 부품 제조업 > 전자 감지장치 제조업"
26299,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2629,기타 전자 부품 제조업,그 외 기타 전자 부품 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 기타 전자 부품 제조업 > 그 외 기타 전자 부품 제조업"
26310,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",263,컴퓨터 및 주변 장치 제조업,2631,컴퓨터 제조업,컴퓨터 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 컴퓨터 및 주변 장치 제조업 > 컴퓨터 제조업"
26321,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",263,컴퓨터 및 주변 장치 제조업,2632,기억 장치 및 주변 기기 제조업,기억 장치 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 컴퓨터 및 주변 장치 제조업 > 기억 장치 및 주변 기기 제조업 > 기억 장치 제조업"
26322,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",263,컴퓨터 및 주변 장치 제조업,2632,기억 장치 및 주변 기기 제조업,컴퓨터 모니터 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 컴퓨터 및 주변 장치 제조업 > 기억 장치 및 주변 기기 제조업 > 컴퓨터 모니터 제조업"
26323,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",263,컴퓨터 및 주변 장치 제조업,2632,기억 장치 및 주변 기기 제조업,컴퓨터 프린터 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 컴퓨터 및 주변 장치 제조업 > 기억 장치 및 주변 기기 제조업 > 컴퓨터 프린터 제조업"
26329,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",263,컴퓨터 및 주변 장치 제조업,2632,기억 장치 및 주변 기기 제조업,기타 주변 기기 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 컴퓨터 및 주변 장치 제조업 > 기억 장치 및 주변 기기 제조업 > 기타 주변 기기 제조업"
26410,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",264,통신 및 방송장비 제조업,2641,유선 통신장비 제조업,유선 통신장비 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 통신 및 방송장비 제조업 > 유선 통신장비 제조업"
26421,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",264,통신 및 방송장비 제조업,2642,방송 및 무선 통신장비 제조업,방송장비 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 통신 및 방송장비 제조업 > 방송 및 무선 통신장비 제조업 > 방송장비 제조업"
26422,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",264,통신 및 방송장비 제조업,2642,방송 및 무선 통신장비 제조업,이동 전화기 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 통신 및 방송장비 제조업 > 방송 및 무선 통신장비 제조업 > 이동 전화기 제조업"
26429,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",264,통신 및 방송장비 제조업,2642,방송 및 무선 통신장비 제조업,기타 무선 통신장비 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 통신 및 방송장비 제조업 > 방송 및 무선 통신장비 제조업 > 기타 무선 통신장비 제조업"
26511,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",265,영상 및 음향 기기 제조업,2651,"텔레비전, 비디오 및 기타 영상 기기 제조업",텔레비전 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 영상 및 음향 기기 제조업 > 텔레비전, 비디오 및 기타 영상 기기 제조업 > 텔레비전 제조업"
26519,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",265,영상 및 음향 기기 제조업,2651,"텔레비전, 비디오 및 기타 영상 기기 제조업",비디오 및 기타 영상 기기 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 영상 및 음향 기기 제조업 > 텔레비전, 비디오 및 기타 영상 기기 제조업 > 비디오 및 기타 영상 기기 제조업"
26521,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",265,영상 및 음향 기기 제조업,2652,"오디오, 스피커 및 기타 음향 기기 제조업","라디오, 녹음 및 재생 기기 제조업","제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 영상 및 음향 기기 제조업 > 오디오, 스피커 및 기타 음향 기기 제조업 > 라디오, 녹음 및 재생 기기 제조업"
26529,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",265,영상 및 음향 기기 제조업,2652,"오디오, 스피커 및 기타 음향 기기 제조업",기타 음향기기 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 영상 및 음향 기기 제조업 > 오디오, 스피커 및 기타 음향 기기 제조업 > 기타 음향기기 제조업"
26600,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",266,마그네틱 및 광학 매체 제조업,2660,마그네틱 및 광학 매체 제조업,마그네틱 및 광학 매체 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 마그네틱 및 광학 매체 제조업"
27111,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",271,의료용 기기 제조업,2711,방사선 장치 및 전기식 진단 기기 제조업,방사선 장치 제조업,"제조업 > 의료, 정밀, 광학 기기 및 시계 제조업 > 의료용 기기 제조업 > 방사선 장치 및 전기식 진단 기기 제조업 > 방사선 장치 제조업"
27112,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",271,의료용 기기 제조업,2711,방사선 장치 및 전기식 진단 기기 제조업,전기식 진단 및 요법 기기 제조업,"제조업 > 의료, 정밀, 광학 기기 및 시계 제조업 > 의료용 기기 제조업 > 방사선 장치 및 전기식 진단 기기 제조업 > 전기식 진단 및 요법 기기 제조업"
27191,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",271,의료용 기기 제조업,2719,기타 의료용 기기 제조업,치과용 기기 제조업,"제조업 > 의료, 정밀, 광학 기기 및 시계 제조업 > 의료용 기기 제조업 > 기타 의료용 기기 제조업 > 치과용 기기 제조업"
27192,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",271,의료용 기기 제조업,2719,기타 의료용 기기 제조업,치과기공물 제조업,"제조업 > 의료, 정밀, 광학 기기 및 시계 제조업 > 의료용 기기 제조업 > 기타 의료용 기기 제조업 > 치과기공물 제조업"
27193,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",271,의료용 기기 제조업,2719,기타 의료용 기기 제조업,치과용 임플란트 제조업,"제조업 > 의료, 정밀, 광학 기기 및 시계 제조업 > 의료용 기기 제조업 > 기타 의료용 기기 제조업 > 치과용 임플란트 제조업"
27194,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",271,의료용 기기 제조업,2719,기타 의료용 기기 제조업,정형 외과용 및 신체 보정용 기기 제조업,"제조업 > 의료, 정밀, 광학 기기 및 시계 제조업 > 의료용 기기 제조업 > 기타 의료용 기기 제조업 > 정형 외과용 및 신체 보정용 기기 제조업"
27195,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",271,의료용 기기 제조업,2719,기타 의료용 기기 제조업,안경 및 안경렌즈 제조업,"제조업 > 의료, 정밀, 광학 기기 및 시계 제조업 > 의료용 기기 제조업 > 기타 의료용 기기 제조업 > 안경 및 안경렌즈 제조업"
27196,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",271,의료용 기기 제조업,2719,기타 의료용 기기 제조업,의료용 가구 제조업,"제조업 > 의료, 정밀, 광학 기기 및 시계 제조업 > 의료용 기기 제조업 > 기타 의료용 기기 제조업 > 의료용 가구 제조업"
27199,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",271,의료용 기기 제조업,2719,기타 의료용 기기 제조업,그 외 기타 의료용 기기 제조업,"제조업 > 의료, 정밀, 광학 기기 및 시계 제조업 > 의료용 기기 제조업 > 기타 의료용 기기 제조업 > 그 외 기타 의료용 기기 제조업"
27211,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",272,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2721,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업","레이더, 항행용 무선 기기 및 측량 기구 제조업","제조업 > 의료, 정밀, 광학 기기 및 시계 제조업 > 측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외 > 측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업 > 레이더, 항행용 무선 기기 및 측량 기구 제조업"
27212,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",272,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2721,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업","전자기 측정, 시험 및 분석 기구 제조업","제조업 > 의료, 정밀, 광학 기기 및 시계 제조업 > 측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외 > 측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업 > 전자기 측정, 시험 및 분석 기구 제조업"
27213,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",272,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2721,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업","물질 검사, 측정 및 분석 기구 제조업","제조업 > 의료, 정밀, 광학 기기 및 시계 제조업 > 측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외 > 측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업 > 물질 검사, 측정 및 분석 기구 제조업"
27214,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",272,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2721,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업",속도계 및 적산계기 제조업,"제조업 > 의료, 정밀, 광학 기기 및 시계 제조업 > 측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외 > 측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업 > 속도계 및 적산계기 제조업"
27215,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",272,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2721,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업",기기용 자동 측정 및 제어장치 제조업,"제조업 > 의료, 정밀, 광학 기기 및 시계 제조업 > 측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외 > 측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업 > 기기용 자동 측정 및 제어장치 제조업"
27216,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",272,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2721,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업",산업 처리공정 제어장비 제조업,"제조업 > 의료, 정밀, 광학 기기 및 시계 제조업 > 측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외 > 측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업 > 산업 처리공정 제어장비 제조업"
27219,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",272,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2721,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업","기타 측정, 시험, 항해, 제어 및 정밀 기기 제조업","제조업 > 의료, 정밀, 광학 기기 및 시계 제조업 > 측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외 > 측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업 > 기타 측정, 시험, 항해, 제어 및 정밀 기기 제조업"
27220,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",272,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2722,시계 및 시계 부품 제조업,시계 및 시계 부품 제조업,"제조업 > 의료, 정밀, 광학 기기 및 시계 제조업 > 측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외 > 시계 및 시계 부품 제조업"
27301,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",273,사진장비 및 광학 기기 제조업,2730,사진장비 및 광학기기 제조업,광학 렌즈 및 광학 요소 제조업,"제조업 > 의료, 정밀, 광학 기기 및 시계 제조업 > 사진장비 및 광학 기기 제조업 > 사진장비 및 광학기기 제조업 > 광학 렌즈 및 광학 요소 제조업"
27309,C,제조업,27,"의료, 정밀, 광학 기기 및 시계 제조업",273,사진장비 및 광학 기기 제조업,2730,사진장비 및 광학기기 제조업,기타 광학기기 및 사진기 제조업,"제조업 > 의료, 정밀, 광학 기기 및 시계 제조업 > 사진장비 및 광학 기기 제조업 > 사진장비 및 광학기기 제조업 > 기타 광학기기 및 사진기 제조업"
28111,C,제조업,28,전기장비 제조업,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",2811,"전동기, 발전기 및 전기 변환장치 제조업",전동기 및 발전기 제조업,"제조업 > 전기장비 제조업 > 전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업 > 전동기, 발전기 및 전기 변환장치 제조업 > 전동기 및 발전기 제조업"
28112,C,제조업,28,전기장비 제조업,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",2811,"전동기, 발전기 및 전기 변환장치 제조업",변압기 제조업,"제조업 > 전기장비 제조업 > 전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업 > 전동기, 발전기 및 전기 변환장치 제조업 > 변압기 제조업"
28113,C,제조업,28,전기장비 제조업,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",2811,"전동기, 발전기 및 전기 변환장치 제조업",에너지 저장장치 제조업,"제조업 > 전기장비 제조업 > 전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업 > 전동기, 발전기 및 전기 변환장치 제조업 > 에너지 저장장치 제조업"
28119,C,제조업,28,전기장비 제조업,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",2811,"전동기, 발전기 및 전기 변환장치 제조업",기타 전기 변환장치 제조업,"제조업 > 전기장비 제조업 > 전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업 > 전동기, 발전기 및 전기 변환장치 제조업 > 기타 전기 변환장치 제조업"
28121,C,제조업,28,전기장비 제조업,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",2812,전기 공급 및 제어장치 제조업,"전기회로 개폐, 보호 장치 제조업","제조업 > 전기장비 제조업 > 전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업 > 전기 공급 및 제어장치 제조업 > 전기회로 개폐, 보호 장치 제조업"
28122,C,제조업,28,전기장비 제조업,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",2812,전기 공급 및 제어장치 제조업,전기회로 접속장치 제조업,"제조업 > 전기장비 제조업 > 전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업 > 전기 공급 및 제어장치 제조업 > 전기회로 접속장치 제조업"
28123,C,제조업,28,전기장비 제조업,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",2812,전기 공급 및 제어장치 제조업,배전반 및 전기 자동제어반 제조업,"제조업 > 전기장비 제조업 > 전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업 > 전기 공급 및 제어장치 제조업 > 배전반 및 전기 자동제어반 제조업"
28201,C,제조업,28,전기장비 제조업,282,일차전지 및 이차전지 제조업,2820,일차전지 및 이차전지 제조업,일차전지 제조업,제조업 > 전기장비 제조업 > 일차전지 및 이차전지 제조업 > 일차전지 제조업
28202,C,제조업,28,전기장비 제조업,282,일차전지 및 이차전지 제조업,2820,일차전지 및 이차전지 제조업,운송장비용 이차전지 제조업,제조업 > 전기장비 제조업 > 일차전지 및 이차전지 제조업 > 운송장비용 이차전지 제조업
28209,C,제조업,28,전기장비 제조업,282,일차전지 및 이차전지 제조업,2820,일차전지 및 이차전지 제조업,기타 이차전지 제조업,제조업 > 전기장비 제조업 > 일차전지 및 이차전지 제조업 > 기타 이차전지 제조업
28301,C,제조업,28,전기장비 제조업,283,절연선 및 케이블 제조업,2830,절연선 및 케이블 제조업,광섬유 케이블 제조업,제조업 > 전기장비 제조업 > 절연선 및 케이블 제조업 > 광섬유 케이블 제조업
28302,C,제조업,28,전기장비 제조업,283,절연선 및 케이블 제조업,2830,절연선 및 케이블 제조업,기타 절연선 및 케이블 제조업,제조업 > 전기장비 제조업 > 절연선 및 케이블 제조업 > 기타 절연선 및 케이블 제조업
28303,C,제조업,28,전기장비 제조업,283,절연선 및 케이블 제조업,2830,절연선 및 케이블 제조업,절연 코드세트 및 기타 도체 제조업,제조업 > 전기장비 제조업 > 절연선 및 케이블 제조업 > 절연 코드세트 및 기타 도체 제조업
28410,C,제조업,28,전기장비 제조업,284,전구 및 조명장치 제조업,2841,전구 및 램프 제조업,전구 및 램프 제조업,제조업 > 전기장비 제조업 > 전구 및 조명장치 제조업 > 전구 및 램프 제조업
28421,C,제조업,28,전기장비 제조업,284,전구 및 조명장치 제조업,2842,조명장치 제조업,운송장비용 조명장치 제조업,제조업 > 전기장비 제조업 > 전구 및 조명장치 제조업 > 조명장치 제조업 > 운송장비용 조명장치 제조업
