KSIC_코드,KSIC_대분류코드,KSIC_대분류명,KSIC_중분류코드,KSIC_중분류명,KSIC_소분류코드,KSIC_소분류명,KSIC_세분류코드,KSIC_세분류명,KSIC_세세분류명,embedding_text
03211,A,"농업, 임업 및 어업",03,어업,032,양식어업 및 어업관련 서비스업,0321,양식 어업,해수면 양식 어업,"농업, 임업 및 어업 > 어업 > 양식어업 및 어업관련 서비스업 > 양식 어업 > 해수면 양식 어업"
03212,A,"농업, 임업 및 어업",03,어업,032,양식어업 및 어업관련 서비스업,0321,양식 어업,내수면 양식 어업,"농업, 임업 및 어업 > 어업 > 양식어업 및 어업관련 서비스업 > 양식 어업 > 내수면 양식 어업"
03213,A,"농업, 임업 및 어업",03,어업,032,양식어업 및 어업관련 서비스업,0321,양식 어업,수산물 부화 및 수산 종자 생산업,"농업, 임업 및 어업 > 어업 > 양식어업 및 어업관련 서비스업 > 양식 어업 > 수산물 부화 및 수산 종자 생산업"
03220,A,"농업, 임업 및 어업",03,어업,032,양식어업 및 어업관련 서비스업,0322,어업 관련 서비스업,어업 관련 서비스업,"농업, 임업 및 어업 > 어업 > 양식어업 및 어업관련 서비스업 > 어업 관련 서비스업"
05100,B,광업,05,"석탄, 원유 및 천연가스 광업",051,석탄 광업,0510,석탄 광업,석탄 광업,"광업 > 석탄, 원유 및 천연가스 광업 > 석탄 광업"
05200,B,광업,05,"석탄, 원유 및 천연가스 광업",052,원유 및 천연가스 채굴업,0520,원유 및 천연가스 채굴업,원유 및 천연가스 채굴업,"광업 > 석탄, 원유 및 천연가스 광업 > 원유 및 천연가스 채굴업"
06100,B,광업,06,금속 광업,061,철 광업,0610,철 광업,철 광업,광업 > 금속 광업 > 철 광업
06200,B,광업,06,금속 광업,062,비철금속 광업,0620,비철금속 광업,비철금속 광업,광업 > 금속 광업 > 비철금속 광업
07110,B,광업,07,비금속광물 광업; 연료용 제외,071,토사석 광업,0711,석회석 및 점토 광업,석회석 및 점토 광업,광업 > 비금속광물 광업; 연료용 제외 > 토사석 광업 > 석회석 및 점토 광업
07121,B,광업,07,비금속광물 광업; 연료용 제외,071,토사석 광업,0712,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,"광업 > 비금속광물 광업; 연료용 제외 > 토사석 광업 > 석재, 쇄석 및 모래, 자갈 채취업 > 건설용 석재 채굴 및 쇄석 생산업"
