색인어,KSIC코드,KSIC명,레벨,신뢰도,출처
루프웨일사 제조,13993,특수사 및 코드직물 제조업,세세분류,MED,haeseolseo
리드프레임 제조,26299,그 외 기타 전자 부품 제조업,세세분류,MED,haeseolseo
리코더 제조,33209,기타 악기 및 전자 악기 제조업,세세분류,MED,haeseolseo
리튬 이온 이차전지 제조,28209,기타 이차전지 제조업,세세분류,MED,haeseolseo
리튬 이온 폴리머 전지 제조,28209,기타 이차전지 제조업,세세분류,MED,haeseolseo
리튬 전지 제조,28201,일차전지 제조업,세세분류,MED,haeseolseo
리튬 폴리머 전지 제조,28209,기타 이차전지 제조업,세세분류,MED,haeseolseo
리프트용 운반 컨테이너 제조,30203,트레일러 및 세미 트레일러 제조업,세세분류,MED,haeseolseo
링크 체인 제조,29142,기어 및 동력전달장치 제조업,세세분류,MED,haeseolseo
마가린 제조,10413,식용 정제유 및 가공유 제조업,세세분류,MED,haeseolseo
마그네틱 오디오 및 비디오 테이프 제조,26600,마그네틱 및 광학 매체 제조업,세세분류,MED,haeseolseo
마그네틱 카드 제조,26292,전자저항기 및 전자카드 제조업,세세분류,MED,haeseolseo
마네킹 인형 제조,33999,그 외 기타 달리 분류되지 않은 제품 제조업,세세분류,MED,haeseolseo
마라카스 제조,33209,기타 악기 및 전자 악기 제조업,세세분류,MED,haeseolseo
마루 광택제 및 크림 제조,20424,표면 광택제 및 실내 가향제 제조업,세세분류,MED,haeseolseo
마루덮개 제조,13910,"카펫, 마루덮개 및 유사 제품 제조업",세세분류,MED,haeseolseo
마모사 제조,13102,모 방적업,세세분류,MED,haeseolseo
마스터 제판 인쇄,18111,경 인쇄업,세세분류,MED,haeseolseo
마요네즈 제조,10832,천연 및 혼합 조제 조미료 제조업,세세분류,MED,haeseolseo
마우스 제조,26329,기타 주변 기기 제조업,세세분류,MED,haeseolseo
마이크로 웨이브관 제조,26299,그 외 기타 전자 부품 제조업,세세분류,MED,haeseolseo
마이크로 폼 리더 제조,27309,기타 광학기기 및 사진기 제조업,세세분류,MED,haeseolseo
마이크로 피시 리더 제조,27309,기타 광학기기 및 사진기 제조업,세세분류,MED,haeseolseo
마이크로 필름 리더 제조,27309,기타 광학기기 및 사진기 제조업,세세분류,MED,haeseolseo
마이크로미터 제조,27219,"기타 측정, 시험, 항해, 제어 및 정밀 기기 제조업",세세분류,MED,haeseolseo
마이크로톰 제조,27213,"물질 검사, 측정 및 분석 기구 제조업",세세분류,MED,haeseolseo
마이크로폰 제조,26529,기타 음향기기 제조업,세세분류,MED,haeseolseo
마직물 직조,13219,특수직물 및 기타 직물 직조업,세세분류,MED,haeseolseo
마카로니 제조,10820,"면류, 마카로니 및 유사 식품 제조업",세세분류,MED,haeseolseo
막걸리 제조,11111,탁주 및 약주 제조업,세세분류,MED,haeseolseo
막대식 교통 통제기 제조,31202,철도 차량 부품 및 관련 장치물 제조업,세세분류,MED,haeseolseo
만도린 제조,33209,기타 악기 및 전자 악기 제조업,세세분류,MED,haeseolseo
만두피 제조,10513,곡물 혼합 분말 및 반죽 제조업,세세분류,MED,haeseolseo
만틸라 제조,14499,그 외 기타 의복 액세서리 제조업,세세분류,MED,haeseolseo
만화 영화 제작,59112,애니메이션 영화 및 비디오물 제작업,세세분류,MED,haeseolseo
말채찍 제조,15190,기타 가죽제품 제조업,세세분류,MED,haeseolseo
맛소금 제조,10831,"식초, 발효 및 화학 조미료 제조업",세세분류,MED,haeseolseo
망가니즈 건전지 제조,28201,일차전지 제조업,세세분류,MED,haeseolseo
망가니즈 합금철 제조,24113,합금철 제조업,세세분류,MED,haeseolseo
망입 판유리 제조,23111,판유리 제조업,세세분류,MED,haeseolseo
매노우스타트 제조,27215,기기용 자동 측정 및 제어장치 제조업,세세분류,MED,haeseolseo
매스틱 제조,20411,일반용 도료 및 관련제품 제조업,세세분류,MED,haeseolseo
매연 여과기 제조,29175,기체 여과기 제조업,세세분류,MED,haeseolseo
매장 등에 사용되는 카트 제조,31999,그 외 기타 달리 분류되지 않은 운송장비 제조업,세세분류,MED,haeseolseo
매트 및 리놀륨 제조용 기타 식물성 기포직물 직조,13219,특수직물 및 기타 직물 직조업,세세분류,MED,haeseolseo
매트리스 내장 침대 제조,32011,매트리스 및 침대 제조업,세세분류,MED,haeseolseo
매트리스 커버 제조,13221,침구 및 관련제품 제조업,세세분류,MED,haeseolseo
맥아 농축액 및 추출물 제조,10893,수프 및 균질화식품 제조업,세세분류,MED,haeseolseo
맥아분 제조,11112,맥아 및 맥주 제조업,세세분류,MED,haeseolseo
머리 달린 가공 원피제품 제조,14200,모피제품 제조업,세세분류,MED,haeseolseo
머시닝센터 제조,29223,금속 절삭기계 제조업,세세분류,MED,haeseolseo
메리야스 원단 제조,13300,편조 원단 제조업,세세분류,MED,haeseolseo
메밀국수 제조,10820,"면류, 마카로니 및 유사 식품 제조업",세세분류,MED,haeseolseo
메추리 사육,01239,기타 가금류 및 조류 사육업,세세분류,MED,haeseolseo
멧돼지 사육,01220,양돈업,세세분류,MED,haeseolseo
면 혼방사 제조,13101,면 방적업,세세분류,MED,haeseolseo
면도날 제조,25931,날붙이 제조업,세세분류,MED,haeseolseo
면류 제조용 혼합분말 및 반죽 제조,10513,곡물 혼합 분말 및 반죽 제조업,세세분류,MED,haeseolseo
면실유 생산,10412,식물성 유지 제조업,세세분류,MED,haeseolseo
면직물 직조,13211,면직물 직조업,세세분류,MED,haeseolseo
모노 및 폴리아조 염료 제조,20132,"염료, 조제 무기 안료, 유연제 및 기타 착색제 제조업",세세분류,MED,haeseolseo
"모노리식 바이폴라 IC, 모스 비메모리용 IC 제조",26112,비메모리용 및 기타 전자집적회로 제조업,세세분류,MED,haeseolseo
모노카르복시산 및 그 유도체 제조,20119,기타 기초 유기 화학물질 제조업,세세분류,MED,haeseolseo
모자 부분품 제조,14491,모자 제조업,세세분류,MED,haeseolseo
모자이크 타일 제조,23232,타일 및 유사 비내화 요업제품 제조업,세세분류,MED,haeseolseo
"모조 목걸이, 팔찌 제조",33120,모조 귀금속 및 모조 장신용품 제조업,세세분류,MED,haeseolseo
모조 브로치 제조,33120,모조 귀금속 및 모조 장신용품 제조업,세세분류,MED,haeseolseo
모직물 직조,13212,모직물 직조업,세세분류,MED,haeseolseo
모터 시동 및 속도 조정기 제조,28123,배전반 및 전기 자동제어반 제조업,세세분류,MED,haeseolseo
모터사이클 제조,31921,모터사이클 제조업,세세분류,MED,haeseolseo
모페드 제조,31921,모터사이클 제조업,세세분류,MED,haeseolseo
모피 깔개 제조,14200,모피제품 제조업,세세분류,MED,haeseolseo
모피 덮개 제조,14200,모피제품 제조업,세세분류,MED,haeseolseo
모피 매트 제조,14200,모피제품 제조업,세세분류,MED,haeseolseo
모피 이불 제조,14200,모피제품 제조업,세세분류,MED,haeseolseo
모피제 액세서리 제조,14499,그 외 기타 의복 액세서리 제조업,세세분류,MED,haeseolseo
목각판 인쇄,18119,기타 인쇄업,세세분류,MED,haeseolseo
"목모, 목분 및 목재칩 제조",16102,표면 가공목재 및 특정 목적용 제재목 제조업,세세분류,MED,haeseolseo
목욕통 제조,23222,위생용 및 산업용 도자기 제조업,세세분류,MED,haeseolseo
목재 거울 틀 제조,16292,장식용 목제품 제조업,세세분류,MED,haeseolseo
목재 공구 제조,16291,목재 도구 및 주방용 나무제품 제조업,세세분류,MED,haeseolseo
목재 문지방 제조,16221,목재 문 및 관련제품 제조업,세세분류,MED,haeseolseo
목재 문틀 제조,16221,목재 문 및 관련제품 제조업,세세분류,MED,haeseolseo
목재 배럴 제조,16232,"목재 포장용 상자, 드럼 및 유사 용기 제조업",세세분류,MED,haeseolseo
목재 상자 제조,16232,"목재 포장용 상자, 드럼 및 유사 용기 제조업",세세분류,MED,haeseolseo
목재 새장 및 동물 우리 제조,16299,그 외 기타 나무제품 제조업,세세분류,MED,haeseolseo
목재 조각상 및 장식품 제조,16292,장식용 목제품 제조업,세세분류,MED,haeseolseo
목재 창문 제조,16221,목재 문 및 관련제품 제조업,세세분류,MED,haeseolseo
목재 케이블 드럼 제조,16232,"목재 포장용 상자, 드럼 및 유사 용기 제조업",세세분류,MED,haeseolseo
목재 케이스 제조,16232,"목재 포장용 상자, 드럼 및 유사 용기 제조업",세세분류,MED,haeseolseo
"목재 콥, 릴 및 유사 제품 제조",16299,그 외 기타 나무제품 제조업,세세분류,MED,haeseolseo
목재 텁 및 유사 용기 제조,16232,"목재 포장용 상자, 드럼 및 유사 용기 제조업",세세분류,MED,haeseolseo
목재 통 제조,16232,"목재 포장용 상자, 드럼 및 유사 용기 제조업",세세분류,MED,haeseolseo
목제 침대 제조,32029,기타 목재 가구 제조업,세세분류,MED,haeseolseo
목제 캐비닛 제조,32029,기타 목재 가구 제조업,세세분류,MED,haeseolseo
묘지석 제조,23911,건설용 석제품 제조업,세세분류,MED,haeseolseo
무기 화합물 제조,20119,기타 기초 유기 화학물질 제조업,세세분류,MED,haeseolseo
무기산 에스테르 및 그 염과 유도체 제조,20119,기타 기초 유기 화학물질 제조업,세세분류,MED,haeseolseo
무기용 대검 및 칼집 제조,25931,날붙이 제조업,세세분류,MED,haeseolseo
무대막 제조,13223,커튼 및 유사 제품 제조업,세세분류,MED,haeseolseo
무동력 항공기 제조,31311,"유인 항공기, 항공 우주선 및 보조장치 제조업",세세분류,MED,haeseolseo
무선 원격 조절기 제조,27211,"레이더, 항행용 무선 기기 및 측량 기구 제조업",세세분류,MED,haeseolseo
무선 전화기 제조,2642,방송 및 무선 통신장비 제조업,세분류,MED,haeseolseo
무선통신 응용장치 제조,2642,방송 및 무선 통신장비 제조업,세분류,MED,haeseolseo
무수 암모니아 또는 암모니아수 제조,20129,기타 기초 무기화학 물질 제조업,세세분류,MED,haeseolseo
무인 비행장치 제조,31312,무인 항공기 및 무인 비행장치 제조업,세세분류,MED,haeseolseo
무인 항공기 제조,31312,무인 항공기 및 무인 비행장치 제조업,세세분류,MED,haeseolseo
무전기 제조,26429,기타 무선 통신장비 제조업,세세분류,MED,haeseolseo
무정전 전원장치 제조,28119,기타 전기 변환장치 제조업,세세분류,MED,haeseolseo
무한궤도식 트랙터 제조,29241,건설 및 채광용 기계장비 제조업,세세분류,MED,haeseolseo
문구용 유리제품 성형 제조,23191,가정용 유리제품 제조업,세세분류,MED,haeseolseo
물리요법용 기 제조,27199,그 외 기타 의료용 기기 제조업,세세분류,MED,haeseolseo
물에 뜨는 구조물 제조,31113,기타 선박 건조업,세세분류,MED,haeseolseo
물품 운반용 망제품 제조,13922,어망 및 기타 끈 가공품 제조업,세세분류,MED,haeseolseo
뮤지컬 박스 제조,33209,기타 악기 및 전자 악기 제조업,세세분류,MED,haeseolseo
뮤지컬 소 제조,33209,기타 악기 및 전자 악기 제조업,세세분류,MED,haeseolseo
뮤직 비디오물 제작,59111,일반 영화 및 비디오물 제작업,세세분류,MED,haeseolseo
미끄럼틀 제조,33302,놀이터용 장비 제조업,세세분류,MED,haeseolseo
미립자 가속기 제조,28909,그 외 기타 전기장비 제조업,세세분류,MED,haeseolseo
미생물 배양체 제조,21100,기초 의약 물질 제조업,세세분류,MED,haeseolseo
미용실용 의자 제조,27196,의료용 가구 제조업,세세분류,MED,haeseolseo
미장 벽돌 및 블록 제조,23231,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업",세세분류,MED,haeseolseo
미장용 모르타르 제조,23321,비내화 모르타르 제조업,세세분류,MED,haeseolseo
밀가루 및 콩가루 생산,10512,곡물 제분업,세세분류,MED,haeseolseo
밀링 머신 제조,29223,금속 절삭기계 제조업,세세분류,MED,haeseolseo
밀짚모자 제조,16300,코르크 및 조물 제품 제조업,세세분류,MED,haeseolseo
밀폐 포장한 가금 고기 가공품 제조,10121,가금류 가공 및 저장 처리업,세세분류,MED,haeseolseo
밀폐 포장한 가금류 이외 육지 동물고기 부분육 제조,10122,육류 포장육 및 냉동육 가공업(가금류 제외),세세분류,MED,haeseolseo
및 탄수화물류 가공식품 제조,10897,건강 기능식품 제조업,세세분류,MED,haeseolseo
바깥바닥 제조,15220,신발 부분품 제조업,세세분류,MED,haeseolseo
바나듐 합금철 제조,24113,합금철 제조업,세세분류,MED,haeseolseo
바니시 제거제 제조,20411,일반용 도료 및 관련제품 제조업,세세분류,MED,haeseolseo
바닥 피복용 플라스틱 제품 제조,22221,벽 및 바닥 피복용 플라스틱 제품 제조업,세세분류,MED,haeseolseo
바닥깔개와 매트 제조,22199,그 외 기타 고무제품 제조업,세세분류,MED,haeseolseo
바닥용 대리석 제조,23911,건설용 석제품 제조업,세세분류,MED,haeseolseo
바둑 및 장기 제조,33409,기타 오락용품 제조업,세세분류,MED,haeseolseo
바륨 산화물 및 과산화물 제조,20129,기타 기초 무기화학 물질 제조업,세세분류,MED,haeseolseo
바이메탈용 합금철 제조,24113,합금철 제조업,세세분류,MED,haeseolseo
바이오 기반 숙신산 및 그 유도체 제조,20112,바이오매스계 기초 화학물질 제조업,세세분류,MED,haeseolseo
바이오 기반 젖산 및 그 유도체 제조,20112,바이오매스계 기초 화학물질 제조업,세세분류,MED,haeseolseo
"바이오 메탄올, 바이오 에탄올 제조",20112,바이오매스계 기초 화학물질 제조업,세세분류,MED,haeseolseo
바이올린 제조,33209,기타 악기 및 전자 악기 제조업,세세분류,MED,haeseolseo
바인더 및 홀더 제조,17901,문구용 종이제품 제조업,세세분류,MED,haeseolseo
바코드 리더 제조,26329,기타 주변 기기 제조업,세세분류,MED,haeseolseo
바퀴 달린 완구 제조,33401,인형 및 장난감 제조업,세세분류,MED,haeseolseo
바퀴 달린 운반용 통 제조,31999,그 외 기타 달리 분류되지 않은 운송장비 제조업,세세분류,MED,haeseolseo
박리한 질석 제조,23994,암면 및 유사 제품 제조업,세세분류,MED,haeseolseo
반도체 박막 공정용 슬러리 제조,2399,그 외 기타 비금속 광물제품 제조업,세분류,MED,haeseolseo
반도체 조립용 장비 제조,29271,반도체 제조용 기계 제조업,세세분류,MED,haeseolseo
반동기관 제조,31321,항공기용 엔진 제조업,세세분류,MED,haeseolseo
반사경 제조,27301,광학 렌즈 및 광학 요소 제조업,세세분류,MED,haeseolseo
반송 통신기 제조,26410,유선 통신장비 제조업,세세분류,MED,haeseolseo
반송 통신용 신호 변환기 제조,26410,유선 통신장비 제조업,세세분류,MED,haeseolseo
반응 그릇 제조,23211,정형 내화 요업제품 제조업,세세분류,MED,haeseolseo
반합성 섬유직물 직조,13213,화학섬유직물 직조업,세세분류,MED,haeseolseo
반합성섬유 방적사 제조,13103,화학섬유 방적업,세세분류,MED,haeseolseo
반화학 골심지 제조,17104,골판지 원지 제조업,세세분류,MED,haeseolseo
발레용 신발 제조,15219,기타 신발 제조업,세세분류,MED,haeseolseo
발전장치 제조,28111,전동기 및 발전기 제조업,세세분류,MED,haeseolseo
발효 미생물류 가공식품 제조,10897,건강 기능식품 제조업,세세분류,MED,haeseolseo
발효유 제조,10421,액상 시유 및 기타 낙농제품 제조업,세세분류,MED,haeseolseo
"발효주정, 조주정, 정제주정 제조",11121,주정 제조업,세세분류,MED,haeseolseo
발효한 퇴비 제조,20313,유기질 비료 및 상토 제조업,세세분류,MED,haeseolseo
"밤, 호두 및 대추 재배",01131,과실작물 재배업,세세분류,MED,haeseolseo
밥주걱 제조,16291,목재 도구 및 주방용 나무제품 제조업,세세분류,MED,haeseolseo
방사선 방호복 제조,22193,고무 의류 및 기타 위생용 비경화 고무제품 제조업,세세분류,MED,haeseolseo
방사선 예방 보호복 제조,14199,그 외 기타 봉제의복 제조업,세세분류,MED,haeseolseo
방사성 물질 혼합물 제조,20129,기타 기초 무기화학 물질 제조업,세세분류,MED,haeseolseo
방사성 원소 및 동위원소 제조,20129,기타 기초 무기화학 물질 제조업,세세분류,MED,haeseolseo
방열기 제조,25121,산업용 난방보일러 및 방열기 제조업,세세분류,MED,haeseolseo
방울술 제조,13999,그 외 기타 분류 안된 섬유제품 제조업,세세분류,MED,haeseolseo
방적 준비기 제조,29269,"기타 섬유, 의복 및 가죽 가공기계 제조업",세세분류,MED,haeseolseo
방적기 및 연사기 제조,29269,"기타 섬유, 의복 및 가죽 가공기계 제조업",세세분류,MED,haeseolseo
방전 램프 제조,28410,전구 및 램프 제조업,세세분류,MED,haeseolseo
방전 램프용 안정기 제조,28119,기타 전기 변환장치 제조업,세세분류,MED,haeseolseo
방전관 제조,26299,그 외 기타 전자 부품 제조업,세세분류,MED,haeseolseo
방향 탐지용 컴퍼스 제조,27211,"레이더, 항행용 무선 기기 및 측량 기구 제조업",세세분류,MED,haeseolseo
배관 연결구류 제조,23239,기타 건축용 비내화 요업제품 제조업,세세분류,MED,haeseolseo
배기관 제조,30399,그 외 자동차용 신품 부품 제조업,세세분류,MED,haeseolseo
배달용 삼륜 자전거 제조,31991,자전거 및 환자용 차량 제조업,세세분류,MED,haeseolseo
배소장치 제조,29199,그 외 기타 일반목적용 기계 제조업,세세분류,MED,haeseolseo
배소한 황화철광 제조,20129,기타 기초 무기화학 물질 제조업,세세분류,MED,haeseolseo
배전기 부분품 제조,28123,배전반 및 전기 자동제어반 제조업,세세분류,MED,haeseolseo
"배전기가 장착된 보드, 콘솔, 캐비닛 등 제조",28123,배전반 및 전기 자동제어반 제조업,세세분류,MED,haeseolseo
배추 김치 제조,10301,김치류 제조업,세세분류,MED,haeseolseo
배터리 충전기 제조,28119,기타 전기 변환장치 제조업,세세분류,MED,haeseolseo
배트 및 스틱류 제조,33309,기타 운동 및 경기용구 제조업,세세분류,MED,haeseolseo
배튼 보드 제조,16211,"박판, 합판 및 유사 적층판 제조업",세세분류,MED,haeseolseo
배합고무 라텍스 제조,22192,산업용 그 외 비경화 고무제품 제조업,세세분류,MED,haeseolseo
배합한 혼성 플라스틱 소재 물질 제조,20203,혼성 및 재생 플라스틱 소재 물질 제조업,세세분류,MED,haeseolseo
백색 시멘트 제조,23311,시멘트 제조업,세세분류,MED,haeseolseo
백열 전구 제조,28410,전구 및 램프 제조업,세세분류,MED,haeseolseo
백판지 제조,17105,크라프트지 및 기타 상자용 판지 제조업,세세분류,MED,haeseolseo
버섯 종균 생산,01123,종자 및 묘목 생산업,세세분류,MED,haeseolseo
"버클용 유금, 아이, 아이렛, 구슬과 스팽글 제조",25999,그 외 기타 분류 안된 금속 가공제품 제조업,세세분류,MED,haeseolseo
버터 포장용 파라핀 상자 제조,17223,식품 위생용 종이 상자 및 용기 제조업,세세분류,MED,haeseolseo
버터밀크 제조,10421,액상 시유 및 기타 낙농제품 제조업,세세분류,MED,haeseolseo
베개 및 베개보 제조,13221,침구 및 관련제품 제조업,세세분류,MED,haeseolseo
베니어 패널 제조,16211,"박판, 합판 및 유사 적층판 제조업",세세분류,MED,haeseolseo
베어링 하우징 제조,29142,기어 및 동력전달장치 제조업,세세분류,MED,haeseolseo
베이커리용 오븐 제조,29242,광물 처리 및 취급장비 제조업,세세분류,MED,haeseolseo
베이커리제품 제조,10602,빵류 제조업,세세분류,MED,haeseolseo
베일용 그물 제조,13999,그 외 기타 분류 안된 섬유제품 제조업,세세분류,MED,haeseolseo
"벤젠, 크실렌, 나프탈렌, 페놀 및 톨루엔 제조",20119,기타 기초 유기 화학물질 제조업,세세분류,MED,haeseolseo
벼 모판 생산,01123,종자 및 묘목 생산업,세세분류,MED,haeseolseo
"벼, 보리, 밀, 수 재배",01110,곡물 및 기타 식량작물 재배업,세세분류,MED,haeseolseo
벽 타일 제조,23232,타일 및 유사 비내화 요업제품 제조업,세세분류,MED,haeseolseo
벽 피복용지 제조,17903,벽지 및 장판지 제조업,세세분류,MED,haeseolseo
벽가리개 제조,13223,커튼 및 유사 제품 제조업,세세분류,MED,haeseolseo
벽덮개 제조,13223,커튼 및 유사 제품 제조업,세세분류,MED,haeseolseo
벽면 부착용 대리석 제조,23911,건설용 석제품 제조업,세세분류,MED,haeseolseo
벽지용 원지 제조,17103,인쇄용 및 필기용 원지 제조업,세세분류,MED,haeseolseo
변량 검사용 기 제조,27213,"물질 검사, 측정 및 분석 기구 제조업",세세분류,MED,haeseolseo
변량 측정기 제조,27213,"물질 검사, 측정 및 분석 기구 제조업",세세분류,MED,haeseolseo
변성 천연 중합체 제조,20202,합성수지 및 기타 플라스틱 물질 제조업,세세분류,MED,haeseolseo
변속기 제조,29142,기어 및 동력전달장치 제조업,세세분류,MED,haeseolseo
변압기 및 부분품 제조,28112,변압기 제조업,세세분류,MED,haeseolseo
병원선 제조,31113,기타 선박 건조업,세세분류,MED,haeseolseo
보강용 적층 및 도포 직물 제조,13994,표면처리 및 적층 직물 제조업,세세분류,MED,haeseolseo
보관함 제조,17222,판지 상자 및 용기 제조업,세세분류,MED,haeseolseo
보기륜 및 그 부분품 제조,30399,그 외 자동차용 신품 부품 제조업,세세분류,MED,haeseolseo
보드카 제조,11129,기타 증류주 및 합성주 제조업,세세분류,MED,haeseolseo
보석상자 제조,16292,장식용 목제품 제조업,세세분류,MED,haeseolseo
보수계기 제조,27214,속도계 및 적산계기 제조업,세세분류,MED,haeseolseo
보수용 철도 차량 제조,31201,기관차 및 기타 철도 차량 제조업,세세분류,MED,haeseolseo
보정용 의안 제조,27194,정형 외과용 및 신체 보정용 기기 제조업,세세분류,MED,haeseolseo
보조 기억장치 제조,26321,기억 장치 제조업,세세분류,MED,haeseolseo
보청기 제조,27194,정형 외과용 및 신체 보정용 기기 제조업,세세분류,MED,haeseolseo
보호용 안경 제조,27195,안경 및 안경렌즈 제조업,세세분류,MED,haeseolseo
복사지 제조,17901,문구용 종이제품 제조업,세세분류,MED,haeseolseo
복층 절연유리 제조,23119,기타 판유리 가공품 제조업,세세분류,MED,haeseolseo
복합비료 제조,20312,복합비료 및 기타 화학비료 제조업,세세분류,MED,haeseolseo
볶은 치커리차 제조,10892,차류 가공업,세세분류,MED,haeseolseo
볶은 커피 생산,10891,커피 가공업,세세분류,MED,haeseolseo
볼 스크루 제조,29142,기어 및 동력전달장치 제조업,세세분류,MED,haeseolseo
볼링장비 제조,33309,기타 운동 및 경기용구 제조업,세세분류,MED,haeseolseo
볼베어링 제조,29141,구름베어링 제조업,세세분류,MED,haeseolseo
"봉, 프로파일, 선 제조",24229,"기타 비철금속 압연, 압출 및 연신제품 제조업",세세분류,MED,haeseolseo
봉제 인형 제조,33401,인형 및 장난감 제조업,세세분류,MED,haeseolseo
부력 측정기 제조,27213,"물질 검사, 측정 및 분석 기구 제조업",세세분류,MED,haeseolseo
부산물 비료 제조,20313,유기질 비료 및 상토 제조업,세세분류,MED,haeseolseo
부채 및 핸드 스크린 제조,16299,그 외 기타 나무제품 제조업,세세분류,MED,haeseolseo
부타디엔고무 제조,20201,합성고무 제조업,세세분류,MED,haeseolseo
"부탄올, 에탄올, 옥탄올, 메탄올 제조",20119,기타 기초 유기 화학물질 제조업,세세분류,MED,haeseolseo
부화기 제조,29210,농업 및 임업용 기계 제조업,세세분류,MED,haeseolseo
분광계 제조,27213,"물질 검사, 측정 및 분석 기구 제조업",세세분류,MED,haeseolseo
분말 분사용 기 제조,29192,분사기 및 소화기 제조업,세세분류,MED,haeseolseo
분말야금용 등 철강 분말 제조,24119,기타 제철 및 제강업,세세분류,MED,haeseolseo
분무용 스프레이 건 제조,29192,분사기 및 소화기 제조업,세세분류,MED,haeseolseo
분사식 세차기 제조,29192,분사기 및 소화기 제조업,세세분류,MED,haeseolseo
분할대 제조,29229,기타 가공 공작기계 제조업,세세분류,MED,haeseolseo
불꽃 점화식 내연기관 제조,30110,자동차용 엔진 제조업,세세분류,MED,haeseolseo
불도저와 앵글도저 제조,29241,건설 및 채광용 기계장비 제조업,세세분류,MED,haeseolseo
불문) 제조,29161,산업용 트럭 및 적재기 제조업,세세분류,MED,haeseolseo
붕소 산화물과 붕산 제조,20129,기타 기초 무기화학 물질 제조업,세세분류,MED,haeseolseo
브라운관 TV 제조,26511,텔레비전 제조업,세세분류,MED,haeseolseo
브래지어 제조,14120,속옷 및 잠옷 제조업,세세분류,MED,haeseolseo
브랜디 제조,11129,기타 증류주 및 합성주 제조업,세세분류,MED,haeseolseo
브러시 몸체 제조,16291,목재 도구 및 주방용 나무제품 제조업,세세분류,MED,haeseolseo
브러시 제조,33993,비 및 솔 제조업,세세분류,MED,haeseolseo
블라우스 제조,14191,셔츠 및 블라우스 제조업,세세분류,MED,haeseolseo
블레이드 제조,13999,그 외 기타 분류 안된 섬유제품 제조업,세세분류,MED,haeseolseo
블록 보드 제조,16211,"박판, 합판 및 유사 적층판 제조업",세세분류,MED,haeseolseo
비 및 솔 제조용 작물 재배,01140,기타 작물 재배업,세세분류,MED,haeseolseo
비경화 고무 가공품 제조,22199,그 외 기타 고무제품 제조업,세세분류,MED,haeseolseo
비계용 지주 및 유사기구 제조,25113,육상 금속 골조 구조재 제조업,세세분류,MED,haeseolseo
비광학 현미경 제조,27219,"기타 측정, 시험, 항해, 제어 및 정밀 기기 제조업",세세분류,MED,haeseolseo
비광학 회절기 제조,27219,"기타 측정, 시험, 항해, 제어 및 정밀 기기 제조업",세세분류,MED,haeseolseo
비군사용 무기 제조,25200,무기 및 총포탄 제조업,세세분류,MED,haeseolseo
비금속 광물 분쇄물 생산,23993,비금속광물 분쇄물 생산업,세세분류,MED,haeseolseo
비금속 광물제품 가공 기계 제조,29299,그 외 기타 특수목적용 기계 제조업,세세분류,MED,haeseolseo
비금속 광물제품 열간 가공기 제조,29299,그 외 기타 특수목적용 기계 제조업,세세분류,MED,haeseolseo
비금속 할로겐 화합물 및 황화물 제조,20129,기타 기초 무기화학 물질 제조업,세세분류,MED,haeseolseo
비금속 황화물 제조,20129,기타 기초 무기화학 물질 제조업,세세분류,MED,haeseolseo
비내화 레미콘 제조,23322,레미콘 제조업,세세분류,MED,haeseolseo
비내화 모르타르 제조,23321,비내화 모르타르 제조업,세세분류,MED,haeseolseo
비내화성 표면처리제 제조,20411,일반용 도료 및 관련제품 제조업,세세분류,MED,haeseolseo
비닐 벽지 제조,22221,벽 및 바닥 피복용 플라스틱 제품 제조업,세세분류,MED,haeseolseo
비디오 및 텔레비전 제조,265,영상 및 음향 기기 제조업,소분류,MED,haeseolseo
비디오 카드 제조,26299,그 외 기타 전자 부품 제조업,세세분류,MED,haeseolseo
비료 및 질소 화합물 제조,19229,기타 석유 정제물 재처리업,세세분류,MED,haeseolseo
비변성 에틸알코올 제조,11121,주정 제조업,세세분류,MED,haeseolseo
비식용 어분 생산,10219,기타 수산동물 가공 및 저장 처리업,세세분류,MED,haeseolseo
비전기식 가정용 조리 또는 난방장치 제조,28520,가정용 비전기식 조리 및 난방 기구 제조업,세세분류,MED,haeseolseo
비전기식 면도기 제조,25931,날붙이 제조업,세세분류,MED,haeseolseo
비전기식 용접기 제조,29199,그 외 기타 일반목적용 기계 제조업,세세분류,MED,haeseolseo
비전기식 조발기 제조,25931,날붙이 제조업,세세분류,MED,haeseolseo
비전기식 진단용 기 제조,27199,그 외 기타 의료용 기기 제조업,세세분류,MED,haeseolseo
비절연 금속 로프 제조,25944,금속선 가공제품 제조업,세세분류,MED,haeseolseo
"비철금속 분말, 조각 및 플레이크 생산",24290,기타 1차 비철금속 제조업,세세분류,MED,haeseolseo
비철금속 피복제품 제조,24290,기타 1차 비철금속 제조업,세세분류,MED,haeseolseo
비철금속을 절단한 중간재 제조,24290,기타 1차 비철금속 제조업,세세분류,MED,haeseolseo
비항해용 선박 제조,31113,기타 선박 건조업,세세분류,MED,haeseolseo
비행용 기구 제조,31311,"유인 항공기, 항공 우주선 및 보조장치 제조업",세세분류,MED,haeseolseo
빔 프로젝터 제조,27309,기타 광학기기 및 사진기 제조업,세세분류,MED,haeseolseo
"빗, 핀 제조",33999,그 외 기타 달리 분류되지 않은 제품 제조업,세세분류,MED,haeseolseo
