색인어,KSIC코드,KSIC명,레벨,신뢰도,출처
건물 모형 제조,33932,전시용 모형 제조업,세세분류,MED,haeseolseo
건물 장착용 히터 제조,29150,"산업용 오븐, 노 및 노용 버너 제조업",세세분류,MED,haeseolseo
건물용 금속 계단 및 사다리 제조,25112,구조용 금속 판제품 및 공작물 제조업,세세분류,MED,haeseolseo
건물용 컨테이너 제조,25119,기타 구조용 금속제품 제조업,세세분류,MED,haeseolseo
건설용 내화 요업제품 제조,23211,정형 내화 요업제품 제조업,세세분류,MED,haeseolseo
건설용 및 스키장용 리프트 제조,29163,컨베이어 장치 제조업,세세분류,MED,haeseolseo
건설용 석재 가공품 제조,23911,건설용 석제품 제조업,세세분류,MED,haeseolseo
건설용 천연 응결 슬레이트제품 제조,23911,건설용 석제품 제조업,세세분류,MED,haeseolseo
건설장비용 지게차 제조,29241,건설 및 채광용 기계장비 제조업,세세분류,MED,haeseolseo
건식 복사기 제조,29180,사무용 기계 및 장비 제조업,세세분류,MED,haeseolseo
건어물 제조,10212,수산동물 건조 및 염장품 제조업,세세분류,MED,haeseolseo
건전지 충전장치 제조,28119,기타 전기 변환장치 제조업,세세분류,MED,haeseolseo
건조된 강낭콩 분과 조분 생산,10512,곡물 제분업,세세분류,MED,haeseolseo
건조제품 제조,10212,수산동물 건조 및 염장품 제조업,세세분류,MED,haeseolseo
건축물 구조재 제조,23239,기타 건축용 비내화 요업제품 제조업,세세분류,MED,haeseolseo
건축용 내화 요업제품 제조,23211,정형 내화 요업제품 제조업,세세분류,MED,haeseolseo
건축용 다공질 유리 및 관련 제품 제조,23129,기타 산업용 유리제품 제조업,세세분류,MED,haeseolseo
견 노일 제조,13109,기타 방적업,세세분류,MED,haeseolseo
견 노일 혼방모사 제조,13102,모 방적업,세세분류,MED,haeseolseo
견과 절임식품 제조,10302,과실 및 그 외 채소 절임식품 제조업,세세분류,MED,haeseolseo
견방사 제조,13109,기타 방적업,세세분류,MED,haeseolseo
견본 목공물 제조,16102,표면 가공목재 및 특정 목적용 제재목 제조업,세세분류,MED,haeseolseo
견재봉사 제조,13104,연사 및 가공사 제조업,세세분류,MED,haeseolseo
견직물 직조,13219,특수직물 및 기타 직물 직조업,세세분류,MED,haeseolseo
경기용 무기 제조,25200,무기 및 총포탄 제조업,세세분류,MED,haeseolseo
경기용 선박 제조,31120,오락 및 스포츠용 보트 건조업,세세분류,MED,haeseolseo
경기용 신발 제조,15219,기타 신발 제조업,세세분류,MED,haeseolseo
경운기 및 이앙기 제조,29210,농업 및 임업용 기계 제조업,세세분류,MED,haeseolseo
경화 가공된 방직용 직물 제조,13994,표면처리 및 적층 직물 제조업,세세분류,MED,haeseolseo
계기반 조립품 제조,30320,자동차 차체용 신품 부품 제조업,세세분류,MED,haeseolseo
계약에 의한 음반 원판 생산,59202,녹음시설 운영업,세세분류,MED,haeseolseo
계전기 제조,28121,"전기회로 개폐, 보호 장치 제조업",세세분류,MED,haeseolseo
고공품 제조,16300,코르크 및 조물 제품 제조업,세세분류,MED,haeseolseo
고글테 및 장착구 제조,27195,안경 및 안경렌즈 제조업,세세분류,MED,haeseolseo
고기 절단 및 분쇄기 제조,25992,수동식 식품 가공 기기 및 금속 주방용기 제조업,세세분류,MED,haeseolseo
고량주 제조,11129,기타 증류주 및 합성주 제조업,세세분류,MED,haeseolseo
"고무 디스크, 링 및 와셔 제조",22191,고무 패킹류 제조업,세세분류,MED,haeseolseo
고무 밴드 제조,22199,그 외 기타 고무제품 제조업,세세분류,MED,haeseolseo
고무 성형 가공기 제조,29291,"고무, 화학섬유 및 플라스틱 성형기 제조업",세세분류,MED,haeseolseo
고무 스펀지 제조,22199,그 외 기타 고무제품 제조업,세세분류,MED,haeseolseo
고무 장갑 및 모자 제조,22193,고무 의류 및 기타 위생용 비경화 고무제품 제조업,세세분류,MED,haeseolseo
고무 젖꼭지 제조,22193,고무 의류 및 기타 위생용 비경화 고무제품 제조업,세세분류,MED,haeseolseo
고무 타이어 재생용 캐멀백 스트립 제조,22110,고무 타이어 및 튜브 제조업,세세분류,MED,haeseolseo
고무 패킹 제조,22191,고무 패킹류 제조업,세세분류,MED,haeseolseo
고무 합연사 제조,13993,특수사 및 코드직물 제조업,세세분류,MED,haeseolseo
"고무, 플라스틱용 복합 가소제 제조",20499,그 외 기타 분류 안된 화학제품 제조업,세세분류,MED,haeseolseo
고무를 주재료로 만든 접착 테이프 제조,22192,산업용 그 외 비경화 고무제품 제조업,세세분류,MED,haeseolseo
고무를 피복한 방직용 섬유 직물 제조,22192,산업용 그 외 비경화 고무제품 제조업,세세분류,MED,haeseolseo
"고무사 직물, 금속사 직물과 튤, 레이스 및 기타 망직물 직조",13219,특수직물 및 기타 직물 직조업,세세분류,MED,haeseolseo
고무제 공기 타이어 제조,22110,고무 타이어 및 튜브 제조업,세세분류,MED,haeseolseo
고무제 솔리드 타이어 제조,22110,고무 타이어 및 튜브 제조업,세세분류,MED,haeseolseo
고무제 자석 제조,22199,그 외 기타 고무제품 제조업,세세분류,MED,haeseolseo
고무판 인쇄,18119,기타 인쇄업,세세분류,MED,haeseolseo
고밀도화 목재 제조,16212,강화 및 재생 목재 제조업,세세분류,MED,haeseolseo
고지 재생펄프 제조,17101,펄프 제조업,세세분류,MED,haeseolseo
"고추, 후추 및 계피가루 제조",10832,천연 및 혼합 조제 조미료 제조업,세세분류,MED,haeseolseo
고추장 제조,10833,장류 제조업,세세분류,MED,haeseolseo
곡면 인쇄용 기계 제조,29292,인쇄 및 제책용 기계 제조업,세세분류,MED,haeseolseo
곡물 선별기 제조,29242,광물 처리 및 취급장비 제조업,세세분류,MED,haeseolseo
곡물 세척기 제조,29242,광물 처리 및 취급장비 제조업,세세분류,MED,haeseolseo
곡물 제분제품 생산,10512,곡물 제분업,세세분류,MED,haeseolseo
곡물음료 제조,11209,기타 비알코올 음료 제조업,세세분류,MED,haeseolseo
곡분제 떡고물 제조,10513,곡물 혼합 분말 및 반죽 제조업,세세분류,MED,haeseolseo
곡분제 빵속 제조,10513,곡물 혼합 분말 및 반죽 제조업,세세분류,MED,haeseolseo
곤충류 사육,01299,그 외 기타 축산업,세세분류,MED,haeseolseo
골절 치료구 제조,27194,정형 외과용 및 신체 보정용 기기 제조업,세세분류,MED,haeseolseo
골판지 상자 제조,17212,골판지 상자 및 가공제품 제조업,세세분류,MED,haeseolseo
골판지 원지 제조,17104,골판지 원지 제조업,세세분류,MED,haeseolseo
골판지 제조,17211,골판지 제조업,세세분류,MED,haeseolseo
골판지 칸막이 제조,17212,골판지 상자 및 가공제품 제조업,세세분류,MED,haeseolseo
골프 글러브 제조,33309,기타 운동 및 경기용구 제조업,세세분류,MED,haeseolseo
골프용 전기 차량 제조,30122,전기 승용차 및 기타 여객용 전기 자동차 제조업,세세분류,MED,haeseolseo
골프용 차량 제조,30121,내연기관 승용차 및 기타 여객용 자동차 제조,세세분류,MED,haeseolseo
골프장비 제조,33309,기타 운동 및 경기용구 제조업,세세분류,MED,haeseolseo
공구 손잡이 제조,16291,목재 도구 및 주방용 나무제품 제조업,세세분류,MED,haeseolseo
공구백 제조,15129,가방 및 기타 보호용 케이스 제조업,세세분류,MED,haeseolseo
공구용 몸체 제조,16291,목재 도구 및 주방용 나무제품 제조업,세세분류,MED,haeseolseo
공구홀더 제조,29229,기타 가공 공작기계 제조업,세세분류,MED,haeseolseo
"공급, 영상 및 오디오 기록물 제작",56229,기타 비알코올 음료점업,세세분류,MED,haeseolseo
공급량 계기 제조,27214,속도계 및 적산계기 제조업,세세분류,MED,haeseolseo
공기 가습기 및 제습기 제조,29299,그 외 기타 특수목적용 기계 제조업,세세분류,MED,haeseolseo
