국세청_업종코드,국세청_대분류코드,국세청_대분류명,국세청_중분류코드,국세청_중분류명,국세청_소분류코드,국세청_소분류명,국세청_세분류코드,국세청_세분류명,국세청_세세분류명,KSIC_코드,KSIC_대분류코드,KSIC_대분류명,KSIC_중분류코드,KSIC_중분류명,KSIC_소분류코드,KSIC_소분류명,KSIC_세분류코드,KSIC_세분류명,KSIC_세세분류명,embedding_text
292903,C,제조업,29,기타 기계 및 장비 제조업,292,특수 목적용 기계 제조업,2929,기타 특수 목적용 기계 제조업,주형 및 금형 제조업,29293,C,제조업,29,기타 기계 및 장비 제조업,292,특수 목적용 기계 제조업,2929,기타 특수 목적용 기계 제조업,주형 및 금형 제조업,제조업 > 기타 기계 및 장비 제조업 > 특수 목적용 기계 제조업 > 기타 특수 목적용 기계 제조업 > 주형 및 금형 제조업
292905,C,제조업,29,기타 기계 및 장비 제조업,292,특수 목적용 기계 제조업,2929,기타 특수 목적용 기계 제조업,그 외 기타 특수 목적용 기계 제조업,29299,C,제조업,29,기타 기계 및 장비 제조업,292,특수 목적용 기계 제조업,2929,기타 특수 목적용 기계 제조업,그 외 기타 특수목적용 기계 제조업,제조업 > 기타 기계 및 장비 제조업 > 특수 목적용 기계 제조업 > 기타 특수 목적용 기계 제조업 > 그 외 기타 특수목적용 기계 제조업 > 그 외 기타 특수 목적용 기계 제조업
292906,C,제조업,29,기타 기계 및 장비 제조업,292,특수 목적용 기계 제조업,2929,기타 특수 목적용 기계 제조업,"고무, 화학섬유 및 플라스틱 성형기 제조업",29291,C,제조업,29,기타 기계 및 장비 제조업,292,특수 목적용 기계 제조업,2929,기타 특수 목적용 기계 제조업,"고무, 화학섬유 및 플라스틱 성형기 제조업","제조업 > 기타 기계 및 장비 제조업 > 특수 목적용 기계 제조업 > 기타 특수 목적용 기계 제조업 > 고무, 화학섬유 및 플라스틱 성형기 제조업"
292907,C,제조업,29,기타 기계 및 장비 제조업,292,특수 목적용 기계 제조업,2929,기타 특수 목적용 기계 제조업,그 외 기타 특수 목적용 기계 제조업,29299,C,제조업,29,기타 기계 및 장비 제조업,292,특수 목적용 기계 제조업,2929,기타 특수 목적용 기계 제조업,그 외 기타 특수목적용 기계 제조업,제조업 > 기타 기계 및 장비 제조업 > 특수 목적용 기계 제조업 > 기타 특수 목적용 기계 제조업 > 그 외 기타 특수목적용 기계 제조업 > 그 외 기타 특수 목적용 기계 제조업
292908,C,제조업,29,기타 기계 및 장비 제조업,292,특수 목적용 기계 제조업,2929,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,29271,C,제조업,29,기타 기계 및 장비 제조업,292,특수 목적용 기계 제조업,2927,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업,제조업 > 기타 기계 및 장비 제조업 > 특수 목적용 기계 제조업 > 반도체 및 디스플레이 제조용 기계 제조업 > 반도체 제조용 기계 제조업
292909,C,제조업,29,기타 기계 및 장비 제조업,292,특수 목적용 기계 제조업,2929,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,29272,C,제조업,29,기타 기계 및 장비 제조업,292,특수 목적용 기계 제조업,2927,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업,제조업 > 기타 기계 및 장비 제조업 > 특수 목적용 기계 제조업 > 반도체 및 디스플레이 제조용 기계 제조업 > 디스플레이 제조용 기계 제조업
293001,C,제조업,29,전기장비 제조업,293,가정용 기기 제조업,2930,가정용 전기 기기 제조업,주방용 전기 기기 제조업,28511,C,제조업,28,전기장비 제조업,285,가정용 기기 제조업,2851,가정용 전기 기기 제조업,주방용 전기 기기 제조업,제조업 > 전기장비 제조업 > 가정용 기기 제조업 > 가정용 전기 기기 제조업 > 주방용 전기 기기 제조업
293002,C,제조업,29,전기장비 제조업,293,가정용 기기 제조업,2930,가정용 전기 기기 제조업,기타 가정용 전기 기기 제조업,28519,C,제조업,28,전기장비 제조업,285,가정용 기기 제조업,2851,가정용 전기 기기 제조업,기타 가정용 전기 기기 제조업,제조업 > 전기장비 제조업 > 가정용 기기 제조업 > 가정용 전기 기기 제조업 > 기타 가정용 전기 기기 제조업
293004,C,제조업,29,전기장비 제조업,293,가정용 기기 제조업,2930,가정용 비전기식 조리 및 난방 기구 제조업,가정용 비전기식 조리 및 난방 기구 제조업,28520,C,제조업,28,전기장비 제조업,285,가정용 기기 제조업,2852,가정용 비전기식 조리 및 난방 기구 제조업,가정용 비전기식 조리 및 난방 기구 제조업,제조업 > 전기장비 제조업 > 가정용 기기 제조업 > 가정용 비전기식 조리 및 난방 기구 제조업
293005,C,제조업,29,전기장비 제조업,293,가정용 기기 제조업,2930,가정용 전기 기기 제조업,가정용 전기 난방기기 제조업,28512,C,제조업,28,전기장비 제조업,285,가정용 기기 제조업,2851,가정용 전기 기기 제조업,가정용 전기 난방기기 제조업,제조업 > 전기장비 제조업 > 가정용 기기 제조업 > 가정용 전기 기기 제조업 > 가정용 전기 난방기기 제조업
300100,C,제조업,30,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",300,컴퓨터 및 주변 장치 제조업,3001,컴퓨터 제조업,컴퓨터 제조업,26310,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",263,컴퓨터 및 주변 장치 제조업,2631,컴퓨터 제조업,컴퓨터 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 컴퓨터 및 주변 장치 제조업 > 컴퓨터 제조업"
300101,C,제조업,30,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",300,컴퓨터 및 주변 장치 제조업,3001,기억 장치 및 주변 기기 제조업,기타 주변 기기 제조업,26329,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",263,컴퓨터 및 주변 장치 제조업,2632,기억 장치 및 주변 기기 제조업,기타 주변 기기 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 컴퓨터 및 주변 장치 제조업 > 기억 장치 및 주변 기기 제조업 > 기타 주변 기기 제조업"
300102,C,제조업,30,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",300,컴퓨터 및 주변 장치 제조업,3001,기억 장치 및 주변 기기 제조업,기억 장치 제조업,26321,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",263,컴퓨터 및 주변 장치 제조업,2632,기억 장치 및 주변 기기 제조업,기억 장치 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 컴퓨터 및 주변 장치 제조업 > 기억 장치 및 주변 기기 제조업 > 기억 장치 제조업"
300103,C,제조업,30,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",300,컴퓨터 및 주변 장치 제조업,3001,기억 장치 및 주변 기기 제조업,컴퓨터 모니터 제조업,26322,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",263,컴퓨터 및 주변 장치 제조업,2632,기억 장치 및 주변 기기 제조업,컴퓨터 모니터 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 컴퓨터 및 주변 장치 제조업 > 기억 장치 및 주변 기기 제조업 > 컴퓨터 모니터 제조업"
300104,C,제조업,30,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",300,컴퓨터 및 주변 장치 제조업,3001,기억 장치 및 주변 기기 제조업,컴퓨터 프린터 제조업,26323,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",263,컴퓨터 및 주변 장치 제조업,2632,기억 장치 및 주변 기기 제조업,컴퓨터 프린터 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 컴퓨터 및 주변 장치 제조업 > 기억 장치 및 주변 기기 제조업 > 컴퓨터 프린터 제조업"
300201,C,제조업,30,기타 기계 및 장비 제조업,300,일반 목적용 기계 제조업,3002,사무용 기계 및 장비 제조업,사무용 기계 및 장비 제조업,29180,C,제조업,29,기타 기계 및 장비 제조업,291,일반 목적용 기계 제조업,2918,사무용 기계 및 장비 제조업,사무용 기계 및 장비 제조업,제조업 > 기타 기계 및 장비 제조업 > 일반 목적용 기계 제조업 > 사무용 기계 및 장비 제조업
300202,C,제조업,30,기타 기계 및 장비 제조업,300,일반 목적용 기계 제조업,3002,사무용 기계 및 장비 제조업,사무용 기계 및 장비 제조업,29180,C,제조업,29,기타 기계 및 장비 제조업,291,일반 목적용 기계 제조업,2918,사무용 기계 및 장비 제조업,사무용 기계 및 장비 제조업,제조업 > 기타 기계 및 장비 제조업 > 일반 목적용 기계 제조업 > 사무용 기계 및 장비 제조업
311001,C,제조업,31,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",311,전자 부품 제조업,3110,기타 전자 부품 제조업,"전자코일, 변성기 및 기타 전자 유도자 제조업",26293,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2629,기타 전자 부품 제조업,"전자코일, 변성기 및 기타 전자 유도자 제조업","제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 기타 전자 부품 제조업 > 전자코일, 변성기 및 기타 전자 유도자 제조업"
311002,C,제조업,31,전기장비 제조업,311,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",3110,"전동기, 발전기 및 전기 변환장치 제조업",전동기 및 발전기 제조업,28111,C,제조업,28,전기장비 제조업,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",2811,"전동기, 발전기 및 전기 변환장치 제조업",전동기 및 발전기 제조업,"제조업 > 전기장비 제조업 > 전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업 > 전동기, 발전기 및 전기 변환장치 제조업 > 전동기 및 발전기 제조업"
311003,C,제조업,31,전기장비 제조업,311,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",3110,"전동기, 발전기 및 전기 변환장치 제조업",변압기 제조업,28112,C,제조업,28,전기장비 제조업,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",2811,"전동기, 발전기 및 전기 변환장치 제조업",변압기 제조업,"제조업 > 전기장비 제조업 > 전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업 > 전동기, 발전기 및 전기 변환장치 제조업 > 변압기 제조업"
311004,C,제조업,31,전기장비 제조업,311,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",3110,"전동기, 발전기 및 전기 변환장치 제조업",기타 전기 변환장치 제조업,28119,C,제조업,28,전기장비 제조업,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",2811,"전동기, 발전기 및 전기 변환장치 제조업",기타 전기 변환장치 제조업,"제조업 > 전기장비 제조업 > 전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업 > 전동기, 발전기 및 전기 변환장치 제조업 > 기타 전기 변환장치 제조업"
311005,C,제조업,31,전기장비 제조업,311,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",3110,"전동기, 발전기 및 전기 변환장치 제조업",에너지 저장장치 제조업,28113,C,제조업,28,전기장비 제조업,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",2811,"전동기, 발전기 및 전기 변환장치 제조업",에너지 저장장치 제조업,"제조업 > 전기장비 제조업 > 전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업 > 전동기, 발전기 및 전기 변환장치 제조업 > 에너지 저장장치 제조업"
311006,C,제조업,31,전기장비 제조업,311,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",3110,"전동기, 발전기 및 전기 변환장치 제조업",기타 전기 변환장치 제조업,28119,C,제조업,28,전기장비 제조업,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",2811,"전동기, 발전기 및 전기 변환장치 제조업",기타 전기 변환장치 제조업,"제조업 > 전기장비 제조업 > 전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업 > 전동기, 발전기 및 전기 변환장치 제조업 > 기타 전기 변환장치 제조업"
312000,C,제조업,31,전기장비 제조업,312,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",3120,전기 공급 및 제어장치 제조업,배전반 및 전기 자동제어반 제조업,28123,C,제조업,28,전기장비 제조업,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",2812,전기 공급 및 제어장치 제조업,배전반 및 전기 자동제어반 제조업,"제조업 > 전기장비 제조업 > 전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업 > 전기 공급 및 제어장치 제조업 > 배전반 및 전기 자동제어반 제조업"
312001,C,제조업,31,전기장비 제조업,312,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",3120,전기 공급 및 제어장치 제조업,"전기회로 개폐, 보호 장치 제조업",28121,C,제조업,28,전기장비 제조업,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",2812,전기 공급 및 제어장치 제조업,"전기회로 개폐, 보호 장치 제조업","제조업 > 전기장비 제조업 > 전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업 > 전기 공급 및 제어장치 제조업 > 전기회로 개폐, 보호 장치 제조업"
312002,C,제조업,31,전기장비 제조업,312,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",3120,전기 공급 및 제어장치 제조업,전기회로 접속장치 제조업,28122,C,제조업,28,전기장비 제조업,281,"전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업",2812,전기 공급 및 제어장치 제조업,전기회로 접속장치 제조업,"제조업 > 전기장비 제조업 > 전동기, 발전기 및 전기 변환ㆍ공급ㆍ제어 장치 제조업 > 전기 공급 및 제어장치 제조업 > 전기회로 접속장치 제조업"
313001,C,제조업,31,전기장비 제조업,313,절연선 및 케이블 제조업,3130,절연선 및 케이블 제조업,기타 절연선 및 케이블 제조업,28302,C,제조업,28,전기장비 제조업,283,절연선 및 케이블 제조업,2830,절연선 및 케이블 제조업,기타 절연선 및 케이블 제조업,제조업 > 전기장비 제조업 > 절연선 및 케이블 제조업 > 기타 절연선 및 케이블 제조업
313002,C,제조업,31,전기장비 제조업,313,절연선 및 케이블 제조업,3130,절연선 및 케이블 제조업,절연 코드세트 및 기타 도체 제조업,28303,C,제조업,28,전기장비 제조업,283,절연선 및 케이블 제조업,2830,절연선 및 케이블 제조업,절연 코드세트 및 기타 도체 제조업,제조업 > 전기장비 제조업 > 절연선 및 케이블 제조업 > 절연 코드세트 및 기타 도체 제조업
313003,C,제조업,31,전기장비 제조업,313,절연선 및 케이블 제조업,3130,절연선 및 케이블 제조업,광섬유 케이블 제조업,28301,C,제조업,28,전기장비 제조업,283,절연선 및 케이블 제조업,2830,절연선 및 케이블 제조업,광섬유 케이블 제조업,제조업 > 전기장비 제조업 > 절연선 및 케이블 제조업 > 광섬유 케이블 제조업
314000,C,제조업,31,전기장비 제조업,314,일차전지 및 이차전지 제조업,3140,일차전지 및 이차전지 제조업,운송장비용 이차전지 제조업,28202,C,제조업,28,전기장비 제조업,282,일차전지 및 이차전지 제조업,2820,일차전지 및 이차전지 제조업,운송장비용 이차전지 제조업,제조업 > 전기장비 제조업 > 일차전지 및 이차전지 제조업 > 운송장비용 이차전지 제조업
314000,C,제조업,31,전기장비 제조업,314,일차전지 및 이차전지 제조업,3140,일차전지 및 이차전지 제조업,기타 이차전지 제조업,28209,C,제조업,28,전기장비 제조업,282,일차전지 및 이차전지 제조업,2820,일차전지 및 이차전지 제조업,기타 이차전지 제조업,제조업 > 전기장비 제조업 > 일차전지 및 이차전지 제조업 > 기타 이차전지 제조업
314001,C,제조업,31,전기장비 제조업,314,일차전지 및 이차전지 제조업,3140,일차전지 및 이차전지 제조업,일차전지 제조업,28201,C,제조업,28,전기장비 제조업,282,일차전지 및 이차전지 제조업,2820,일차전지 및 이차전지 제조업,일차전지 제조업,제조업 > 전기장비 제조업 > 일차전지 및 이차전지 제조업 > 일차전지 제조업
315001,C,제조업,31,전기장비 제조업,315,전구 및 조명장치 제조업,3150,조명장치 제조업,일반용 전기 조명장치 제조업,28422,C,제조업,28,전기장비 제조업,284,전구 및 조명장치 제조업,2842,조명장치 제조업,일반용 전기 조명장치 제조업,제조업 > 전기장비 제조업 > 전구 및 조명장치 제조업 > 조명장치 제조업 > 일반용 전기 조명장치 제조업
315002,C,제조업,31,전기장비 제조업,315,전구 및 조명장치 제조업,3150,조명장치 제조업,전시 및 광고용 조명장치 제조업,28423,C,제조업,28,전기장비 제조업,284,전구 및 조명장치 제조업,2842,조명장치 제조업,전시 및 광고용 조명장치 제조업,제조업 > 전기장비 제조업 > 전구 및 조명장치 제조업 > 조명장치 제조업 > 전시 및 광고용 조명장치 제조업
315003,C,제조업,31,전기장비 제조업,315,전구 및 조명장치 제조업,3150,전구 및 램프 제조업,전구 및 램프 제조업,28410,C,제조업,28,전기장비 제조업,284,전구 및 조명장치 제조업,2841,전구 및 램프 제조업,전구 및 램프 제조업,제조업 > 전기장비 제조업 > 전구 및 조명장치 제조업 > 전구 및 램프 제조업
315005,C,제조업,31,전기장비 제조업,315,전구 및 조명장치 제조업,3150,조명장치 제조업,기타 조명장치 제조업,28429,C,제조업,28,전기장비 제조업,284,전구 및 조명장치 제조업,2842,조명장치 제조업,기타 조명장치 제조업,제조업 > 전기장비 제조업 > 전구 및 조명장치 제조업 > 조명장치 제조업 > 기타 조명장치 제조업
319001,C,제조업,31,전기장비 제조업,319,전구 및 조명장치 제조업,3190,조명장치 제조업,운송장비용 조명장치 제조업,28421,C,제조업,28,전기장비 제조업,284,전구 및 조명장치 제조업,2842,조명장치 제조업,운송장비용 조명장치 제조업,제조업 > 전기장비 제조업 > 전구 및 조명장치 제조업 > 조명장치 제조업 > 운송장비용 조명장치 제조업
319002,C,제조업,31,전기장비 제조업,319,기타 전기장비 제조업,3190,기타 전기장비 제조업,그 외 기타 전기장비 제조업,28909,C,제조업,28,전기장비 제조업,289,기타 전기장비 제조업,2890,기타 전기장비 제조업,그 외 기타 전기장비 제조업,제조업 > 전기장비 제조업 > 기타 전기장비 제조업 > 그 외 기타 전기장비 제조업
319003,C,제조업,31,전기장비 제조업,319,기타 전기장비 제조업,3190,기타 전기장비 제조업,전기 경보 및 신호장치 제조업,28901,C,제조업,28,전기장비 제조업,289,기타 전기장비 제조업,2890,기타 전기장비 제조업,전기 경보 및 신호장치 제조업,제조업 > 전기장비 제조업 > 기타 전기장비 제조업 > 전기 경보 및 신호장치 제조업
319004,C,제조업,31,전기장비 제조업,319,기타 전기장비 제조업,3190,기타 전기장비 제조업,전기용 탄소제품 및 절연제품 제조업,28902,C,제조업,28,전기장비 제조업,289,기타 전기장비 제조업,2890,기타 전기장비 제조업,전기용 탄소제품 및 절연제품 제조업,제조업 > 전기장비 제조업 > 기타 전기장비 제조업 > 전기용 탄소제품 및 절연제품 제조업
319005,C,제조업,31,전기장비 제조업,319,기타 전기장비 제조업,3190,기타 전기장비 제조업,교통 신호장치 제조업,28903,C,제조업,28,전기장비 제조업,289,기타 전기장비 제조업,2890,기타 전기장비 제조업,교통 신호장치 제조업,제조업 > 전기장비 제조업 > 기타 전기장비 제조업 > 교통 신호장치 제조업
321000,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,반도체 제조업,3210,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",기타 반도체 소자 제조업,26129,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",261,반도체 제조업,2612,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",기타 반도체 소자 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 반도체 제조업 > 다이오드, 트랜지스터 및 유사 반도체 소자 제조업 > 기타 반도체 소자 제조업"
321001,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,기타 전자 부품 제조업,그 외 기타 전자 부품 제조업,26299,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2629,기타 전자 부품 제조업,그 외 기타 전자 부품 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 기타 전자 부품 제조업 > 그 외 기타 전자 부품 제조업"
321002,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,반도체 제조업,3210,전자집적회로 제조업,메모리용 전자집적회로 제조업,26111,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",261,반도체 제조업,2611,전자집적회로 제조업,메모리용 전자집적회로 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 반도체 제조업 > 전자집적회로 제조업 > 메모리용 전자집적회로 제조업"
321003,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,반도체 제조업,3210,전자집적회로 제조업,비메모리용 및 기타 전자집적회로 제조업,26112,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",261,반도체 제조업,2611,전자집적회로 제조업,비메모리용 및 기타 전자집적회로 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 반도체 제조업 > 전자집적회로 제조업 > 비메모리용 및 기타 전자집적회로 제조업"
321004,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,반도체 제조업,3210,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",발광 다이오드 제조업,26121,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",261,반도체 제조업,2612,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업",발광 다이오드 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 반도체 제조업 > 다이오드, 트랜지스터 및 유사 반도체 소자 제조업 > 발광 다이오드 제조업"
321005,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,표시장치 제조업,액정 표시장치 제조업,26211,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2621,표시장치 제조업,액정 표시장치 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 표시장치 제조업 > 액정 표시장치 제조업"
321006,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,표시장치 제조업,유기 발광 표시장치 제조업,26212,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2621,표시장치 제조업,유기 발광 표시장치 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 표시장치 제조업 > 유기 발광 표시장치 제조업"
321007,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,표시장치 제조업,기타 표시장치 제조업,26219,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2621,표시장치 제조업,기타 표시장치 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 표시장치 제조업 > 기타 표시장치 제조업"
321008,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,인쇄회로기판 및 전자부품 실장기판 제조업,인쇄회로기판용 적층판 제조업,26221,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2622,인쇄회로기판 및 전자부품 실장기판 제조업,인쇄회로기판용 적층판 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 인쇄회로기판 및 전자부품 실장기판 제조업 > 인쇄회로기판용 적층판 제조업"
321009,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,인쇄회로기판 및 전자부품 실장기판 제조업,경성 인쇄회로기판 제조업,26222,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2622,인쇄회로기판 및 전자부품 실장기판 제조업,경성 인쇄회로기판 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 인쇄회로기판 및 전자부품 실장기판 제조업 > 경성 인쇄회로기판 제조업"
321011,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,인쇄회로기판 및 전자부품 실장기판 제조업,연성 및 기타 인쇄회로기판 제조업,26223,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2622,인쇄회로기판 및 전자부품 실장기판 제조업,연성 및 기타 인쇄회로기판 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 인쇄회로기판 및 전자부품 실장기판 제조업 > 연성 및 기타 인쇄회로기판 제조업"
321012,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,인쇄회로기판 및 전자부품 실장기판 제조업,전자 부품 실장기판 제조업,26224,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2622,인쇄회로기판 및 전자부품 실장기판 제조업,전자 부품 실장기판 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 인쇄회로기판 및 전자부품 실장기판 제조업 > 전자 부품 실장기판 제조업"
321013,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,기타 전자 부품 제조업,전자 축전기 제조업,26291,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2629,기타 전자 부품 제조업,전자 축전기 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 기타 전자 부품 제조업 > 전자 축전기 제조업"
321014,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,기타 전자 부품 제조업,전자저항기 및 전자카드 제조업,26292,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2629,기타 전자 부품 제조업,전자저항기 및 전자카드 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 기타 전자 부품 제조업 > 전자저항기 및 전자카드 제조업"
321015,C,제조업,32,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",321,전자 부품 제조업,3210,기타 전자 부품 제조업,전자저항기 및 전자카드 제조업,26292,C,제조업,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",262,전자 부품 제조업,2629,기타 전자 부품 제조업,전자저항기 및 전자카드 제조업,"제조업 > 전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업 > 전자 부품 제조업 > 기타 전자 부품 제조업 > 전자저항기 및 전자카드 제조업"
