doc_id,business_code,doc_type,doc_text
012103__ksic0,012103,ksic,그 외 기타 축산업
012103__desc0,012103,desc,"사슴, 토끼"
012103__example0,012103,example,양봉업
012103__example1,012103,example,실험용 쥐 생산
012103__example2,012103,example,여우 및 곰 사육
012103__example3,012103,example,곤충류 사육
012103__example4,012103,example,"토끼, 개 및 사슴 사육"
012103__example5,012103,example,양잠업
012103__example6,012103,example,환형동물(지렁이 등) 사육
012103__xref0,012103,xref,사육활동에 결합된 동물성 물질 생산
012103__xref1,012103,xref,"동물을 번식, 증식, 사육하는 활동"
012104__name0,012104,name,젖소 사육업
012104__hier0,012104,hier,"농업, 임업 및 어업 > 농업 > 축산업 > 소 사육업"
012104__example0,012104,example,젖소 사육
012104__example1,012104,example,생우유 생산
012104__xref0,012104,xref,사육활동에 결합된 동물성 물질 생산
012104__xref1,012104,xref,"동물을 번식, 증식, 사육하는 활동"
012105__name0,012105,name,그 외 기타 축산업(개)
012105__hier0,012105,hier,"농업, 임업 및 어업 > 농업 > 축산업 > 기타 축산업"
012105__ksic0,012105,ksic,그 외 기타 축산업
012105__example0,012105,example,양봉업
012105__example1,012105,example,실험용 쥐 생산
012105__example2,012105,example,여우 및 곰 사육
012105__example3,012105,example,곤충류 사육
012105__example4,012105,example,"토끼, 개 및 사슴 사육"
012105__example5,012105,example,양잠업
012105__example6,012105,example,환형동물(지렁이 등) 사육
012105__xref0,012105,xref,사육활동에 결합된 동물성 물질 생산
012105__xref1,012105,xref,"동물을 번식, 증식, 사육하는 활동"
012201__name0,012201,name,양돈업
012201__hier0,012201,hier,"농업, 임업 및 어업 > 농업 > 축산업 > 양돈업"
012201__example0,012201,example,돼지 사육
012201__example1,012201,example,멧돼지 사육
012201__xref0,012201,xref,사육활동에 결합된 동물성 물질 생산
012201__xref1,012201,xref,"동물을 번식, 증식, 사육하는 활동"
012202__name0,012202,name,양계업
012202__hier0,012202,hier,"농업, 임업 및 어업 > 농업 > 축산업 > 가금류 및 조류 사육업"
012202__example0,012202,example,닭 사육
012202__example1,012202,example,양계장 운영
012202__example2,012202,example,계란 생산
012202__example3,012202,example,병아리 부화장 운영
012202__xref0,012202,xref,닭 사육 및 부화
012202__xref1,012202,xref,가금부화 서비스
012202__xref2,012202,xref,사육활동에 결합된 동물성 물질 생산
012202__xref3,012202,xref,"동물을 번식, 증식, 사육하는 활동"
012203__name0,012203,name,기타 가금류 및 조류 사육업
012203__hier0,012203,hier,"농업, 임업 및 어업 > 농업 > 축산업 > 가금류 및 조류 사육업"
012203__example0,012203,example,가금(닭 제외) 사육
012203__example1,012203,example,조란(계란 제외) 생산
012203__example2,012203,example,실험용 조류 사육
012203__example3,012203,example,관상용 조류 사육
012203__example4,012203,example,메추리 사육
012203__example5,012203,example,가금(닭 제외) 부화
012203__xref0,012203,xref,가금부화 서비스
012203__xref1,012203,xref,사육활동에 결합된 동물성 물질 생산
012203__xref2,012203,xref,"동물을 번식, 증식, 사육하는 활동"
012204__name0,012204,name,그 외 기타 축산업
012204__hier0,012204,hier,"농업, 임업 및 어업 > 농업 > 축산업 > 기타 축산업"
012204__example0,012204,example,양봉업
012204__example1,012204,example,실험용 쥐 생산
012204__example2,012204,example,여우 및 곰 사육
012204__example3,012204,example,곤충류 사육
012204__example4,012204,example,"토끼, 개 및 사슴 사육"
012204__example5,012204,example,양잠업
012204__example6,012204,example,환형동물(지렁이 등) 사육
012204__xref0,012204,xref,사육활동에 결합된 동물성 물질 생산
012204__xref1,012204,xref,"동물을 번식, 증식, 사육하는 활동"
014300__name0,014300,name,축산 관련 서비스업
014300__hier0,014300,hier,"농업, 임업 및 어업 > 농업 > 작물재배 및 축산 관련 서비스업 > 축산 관련 서비스업"
014300__example0,014300,example,가금감별 서비스
014300__example1,014300,example,동물 인공수정
014300__example2,014300,example,품종개량 서비스
014300__example3,014300,example,거세 서비스
014300__example4,014300,example,혈통검사 서비스
014300__example5,014300,example,동물 먹이주기 대리
014300__xref0,014300,xref,가금 감별활동
014300__xref1,014300,xref,가금 및 조류 감별활동
014300__xref2,014300,xref,인공 수정 및 거세 서비스
014301__name0,014301,name,작물재배 및 축산 복합농업
014301__hier0,014301,hier,"농업, 임업 및 어업 > 농업 > 작물재배 및 축산 복합농업 > 작물재배 및 축산 복합농업"
014301__example0,014301,example,작물재배와 축산 복합 생산
014302__name0,014302,name,작물재배 지원 서비스업
014302__hier0,014302,hier,"농업, 임업 및 어업 > 농업 > 작물재배 및 축산 관련 서비스업 > 작물재배 관련 서비스업"
014302__example0,014302,example,농약 뿌리기 서비스
014302__example1,014302,example,작물 수확 서비스
014302__example2,014302,example,농업용수 공급
014302__example3,014302,example,농업 노동자 공급
014302__xref0,014302,xref,농업용수 공급 및 농업용 관개시설 운영
014302__xref1,014302,xref,농작물 해충 구제 서비스
014302__xref2,014302,xref,장비 임대
014303__name0,014303,name,"농산물 건조, 선별 및 기타 수확 후 서비스업"
014303__hier0,014303,hier,"농업, 임업 및 어업 > 농업 > 작물재배 및 축산 관련 서비스업 > 작물재배 관련 서비스업"
014303__example0,014303,example,과실 선과장 운영
014303__example1,014303,example,농산물 건조장 운영
014303__example2,014303,example,종자 가공업 운영
014303__xref0,014303,xref,수수료 또는 계약에 의하여 타농가의 잎담배를 건조할 경우
015000__name0,015000,name,수렵 및 관련 서비스업
015000__hier0,015000,hier,"농업, 임업 및 어업 > 농업 > 수렵 및 관련 서비스업 > 수렵 및 관련 서비스업"
015000__example0,015000,example,수렵활동
015000__example1,015000,example,야생 개구리 포획
